TP, FN, FP, TN, P    , R    , F1   , ER   , RI
42, 59, 28, 2922, 0.600, 0.416, 0.491, 0.945, 17.125
713, 255, 157, 4300, 0.820, 0.737, 0.776, 0.782, 3.593
104, 23, 17, 3945, 0.860, 0.819, 0.839, 0.964, 26.673
34, 39, 7, 2504, 0.829, 0.466, 0.596, 0.966, 28.354
258, 118, 32, 2083, 0.890, 0.686, 0.775, 0.830, 4.894
63, 131, 20, 4429, 0.759, 0.325, 0.455, 0.945, 17.166
76, 24, 38, 2355, 0.667, 0.760, 0.710, 0.940, 15.620
210, 71, 23, 3843, 0.901, 0.747, 0.817, 0.925, 12.301
318, 64, 42, 3227, 0.883, 0.832, 0.857, 0.882, 7.443
116, 84, 27, 4245, 0.811, 0.580, 0.676, 0.945, 17.138
59, 25, 24, 1540, 0.711, 0.702, 0.707, 0.928, 12.946
212, 108, 120, 2883, 0.639, 0.663, 0.650, 0.849, 5.631
185, 63, 90, 4096, 0.673, 0.746, 0.707, 0.917, 11.028
710, 335, 320, 27974, 0.689, 0.679, 0.684, 0.948, 18.353
87, 48, 39, 1044, 0.690, 0.644, 0.667, 0.839, 5.230
498, 119, 155, 14260, 0.763, 0.807, 0.784, 0.946, 17.580
66, 31, 51, 7563, 0.564, 0.680, 0.617, 0.978, 43.843
54, 37, 22, 3525, 0.711, 0.593, 0.647, 0.965, 27.405
177, 109, 106, 11825, 0.625, 0.619, 0.622, 0.963, 25.717
27, 35, 17, 2611, 0.614, 0.435, 0.509, 0.962, 25.624
