TP, FN, FP, TN, P    , R    , F1   , ER   , RI
67, 34, 193, 2757, 0.258, 0.663, 0.371, 0.872, 6.784
928, 40, 402, 4055, 0.698, 0.959, 0.808, 0.744, 2.910
119, 8, 93, 3869, 0.561, 0.937, 0.702, 0.945, 17.073
47, 26, 147, 2364, 0.242, 0.644, 0.352, 0.883, 7.576
316, 60, 179, 1936, 0.638, 0.840, 0.726, 0.764, 3.229
117, 77, 122, 4327, 0.490, 0.603, 0.540, 0.915, 10.716
84, 16, 100, 2293, 0.457, 0.840, 0.592, 0.912, 10.381
236, 45, 164, 3702, 0.590, 0.840, 0.693, 0.885, 7.707
351, 31, 181, 3088, 0.660, 0.919, 0.768, 0.841, 5.306
163, 37, 232, 4040, 0.413, 0.815, 0.548, 0.892, 8.227
67, 17, 79, 1485, 0.459, 0.798, 0.583, 0.889, 8.003
269, 51, 406, 2597, 0.399, 0.841, 0.541, 0.758, 3.138
221, 27, 299, 3887, 0.425, 0.891, 0.576, 0.868, 6.599
882, 163, 2035, 26259, 0.302, 0.844, 0.445, 0.882, 7.489
116, 19, 109, 974, 0.516, 0.859, 0.644, 0.785, 3.651
563, 54, 926, 13489, 0.378, 0.912, 0.535, 0.891, 8.212
79, 18, 448, 7166, 0.150, 0.814, 0.253, 0.916, 10.917
73, 18, 209, 3338, 0.259, 0.802, 0.391, 0.903, 9.349
243, 43, 697, 11234, 0.259, 0.850, 0.396, 0.909, 10.043
44, 18, 146, 2482, 0.232, 0.710, 0.349, 0.900, 9.048
