Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 267, 778, 1806, 26488, 0.129, 0.256, 0.171, 0.723, 2.616
ArgoUML, 726, 319, 4570, 23724, 0.137, 0.695, 0.229, 0.740, 2.849
Columba, 824, 221, 3896, 24398, 0.175, 0.789, 0.286, 0.796, 3.901
EMF, 788, 257, 3171, 25123, 0.199, 0.754, 0.315, 0.821, 4.588
Hibernate, 750, 295, 2604, 25690, 0.224, 0.718, 0.341, 0.841, 5.278
JEdit, 856, 189, 4157, 24137, 0.171, 0.819, 0.283, 0.791, 3.794
JFreeChart, 711, 334, 3102, 25192, 0.186, 0.680, 0.293, 0.809, 4.235
JMeter, 791, 254, 2391, 25903, 0.249, 0.757, 0.374, 0.857, 5.979
JRuby, 746, 299, 2331, 25963, 0.242, 0.714, 0.362, 0.853, 5.807
SQuirrel, 767, 278, 2714, 25580, 0.220, 0.734, 0.339, 0.838, 5.186
Dubbo, 362, 683, 2873, 25421, 0.112, 0.346, 0.169, 0.682, 2.142
Gradle, 356, 689, 1611, 26683, 0.181, 0.341, 0.236, 0.803, 4.081
Groovy, 508, 537, 1755, 26539, 0.224, 0.486, 0.307, 0.841, 5.302
Hive, 869, 176, 1312, 26982, 0.398, 0.832, 0.539, 0.911, 10.186
Maven, 273, 772, 2796, 25498, 0.089, 0.261, 0.133, 0.600, 1.497
Poi, 747, 298, 2525, 25769, 0.228, 0.715, 0.346, 0.844, 5.410
SpringFramework, 588, 457, 1960, 26334, 0.231, 0.563, 0.327, 0.846, 5.479
Storm, 566, 479, 2233, 26061, 0.202, 0.542, 0.294, 0.824, 4.677
Tomcat, 797, 248, 2210, 26084, 0.265, 0.763, 0.393, 0.866, 6.441
Zookeeper, 813, 232, 2888, 25406, 0.220, 0.778, 0.343, 0.838, 5.167
