Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 77, 24, 96, 2854, 0.445, 0.762, 0.562, 0.926, 12.445
ArgoUML, 47, 54, 395, 2555, 0.106, 0.465, 0.173, 0.689, 2.212
Columba, 64, 37, 357, 2593, 0.152, 0.634, 0.245, 0.782, 3.592
EMF, 33, 68, 198, 2752, 0.143, 0.327, 0.199, 0.768, 3.315
Hibernate, 45, 56, 197, 2753, 0.186, 0.446, 0.262, 0.822, 4.617
JEdit, 70, 31, 426, 2524, 0.141, 0.693, 0.235, 0.765, 3.263
JFreeChart, 40, 61, 315, 2635, 0.113, 0.396, 0.175, 0.706, 2.404
JMeter, 47, 54, 216, 2734, 0.179, 0.465, 0.258, 0.815, 4.398
JRuby, 54, 47, 192, 2758, 0.220, 0.535, 0.311, 0.849, 5.631
SQuirrel, 44, 57, 366, 2584, 0.107, 0.436, 0.172, 0.692, 2.242
Dubbo, 16, 85, 282, 2668, 0.054, 0.158, 0.080, 0.383, 0.622
Gradle, 21, 80, 102, 2848, 0.171, 0.208, 0.187, 0.806, 4.157
Groovy, 27, 74, 241, 2709, 0.101, 0.267, 0.146, 0.671, 2.043
Hive, 64, 37, 228, 2722, 0.219, 0.634, 0.326, 0.849, 5.621
Maven, 28, 73, 194, 2756, 0.126, 0.277, 0.173, 0.738, 2.810
Poi, 62, 39, 261, 2689, 0.192, 0.614, 0.292, 0.828, 4.798
SpringFramework, 27, 74, 265, 2685, 0.092, 0.267, 0.137, 0.642, 1.793
Storm, 33, 68, 265, 2685, 0.111, 0.327, 0.165, 0.701, 2.345
Tomcat, 65, 36, 278, 2672, 0.190, 0.644, 0.293, 0.825, 4.725
Zookeeper, 57, 44, 458, 2492, 0.111, 0.564, 0.185, 0.701, 2.343
