Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 181, 67, 211, 3975, 0.462, 0.730, 0.566, 0.879, 7.255
ArgoUML, 165, 83, 568, 3618, 0.225, 0.665, 0.336, 0.752, 3.025
Columba, 186, 62, 591, 3595, 0.239, 0.750, 0.363, 0.766, 3.280
EMF, 192, 56, 346, 3840, 0.357, 0.774, 0.489, 0.843, 5.381
Hibernate, 200, 48, 318, 3868, 0.386, 0.806, 0.522, 0.855, 5.903
JEdit, 197, 51, 393, 3793, 0.334, 0.794, 0.470, 0.832, 4.970
JFreeChart, 175, 73, 350, 3836, 0.333, 0.706, 0.453, 0.832, 4.960
JMeter, 190, 58, 292, 3894, 0.394, 0.766, 0.521, 0.858, 6.048
JRuby, 188, 60, 313, 3873, 0.375, 0.758, 0.502, 0.851, 5.709
SQuirrel, 192, 56, 362, 3824, 0.347, 0.774, 0.479, 0.839, 5.196
Dubbo, 68, 180, 259, 3927, 0.208, 0.274, 0.237, 0.731, 2.718
Gradle, 46, 202, 148, 4038, 0.237, 0.185, 0.208, 0.764, 3.239
Groovy, 180, 68, 114, 4072, 0.612, 0.726, 0.664, 0.909, 9.946
Hive, 176, 72, 252, 3934, 0.411, 0.710, 0.521, 0.864, 6.352
Maven, 77, 171, 388, 3798, 0.166, 0.310, 0.216, 0.662, 1.961
Poi, 161, 87, 283, 3903, 0.363, 0.649, 0.465, 0.846, 5.483
SpringFramework, 183, 65, 224, 3962, 0.450, 0.738, 0.559, 0.876, 7.039
Storm, 193, 55, 465, 3721, 0.293, 0.778, 0.426, 0.809, 4.244
Tomcat, 169, 79, 265, 3921, 0.389, 0.681, 0.496, 0.856, 5.962
Zookeeper, 181, 67, 408, 3778, 0.307, 0.730, 0.432, 0.818, 4.494
