Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 168, 118, 509, 11422, 0.248, 0.587, 0.349, 0.906, 9.600
ArgoUML, 204, 82, 1684, 10247, 0.108, 0.713, 0.188, 0.783, 3.616
Columba, 208, 78, 1247, 10684, 0.143, 0.727, 0.239, 0.836, 5.107
EMF, 168, 118, 1064, 10867, 0.136, 0.587, 0.221, 0.828, 4.825
Hibernate, 196, 90, 980, 10951, 0.167, 0.685, 0.268, 0.860, 6.119
JEdit, 184, 102, 1232, 10699, 0.130, 0.643, 0.216, 0.820, 4.551
JFreeChart, 168, 118, 859, 11072, 0.164, 0.587, 0.256, 0.857, 5.988
JMeter, 178, 108, 520, 11411, 0.255, 0.622, 0.362, 0.908, 9.893
JRuby, 187, 99, 624, 11307, 0.231, 0.654, 0.341, 0.898, 8.850
SQuirrel, 140, 146, 728, 11203, 0.161, 0.490, 0.243, 0.855, 5.890
Dubbo, 103, 183, 742, 11189, 0.122, 0.360, 0.182, 0.808, 4.207
Gradle, 60, 226, 325, 11606, 0.156, 0.210, 0.179, 0.850, 5.657
Groovy, 114, 172, 591, 11340, 0.162, 0.399, 0.230, 0.855, 5.907
Hive, 209, 77, 616, 11315, 0.253, 0.731, 0.376, 0.908, 9.822
Maven, 114, 172, 919, 11012, 0.110, 0.399, 0.173, 0.788, 3.714
Poi, 184, 102, 848, 11083, 0.178, 0.643, 0.279, 0.869, 6.616
SpringFramework, 148, 138, 712, 11219, 0.172, 0.517, 0.258, 0.864, 6.351
Storm, 196, 90, 1026, 10905, 0.160, 0.685, 0.260, 0.854, 5.851
Tomcat, 230, 56, 436, 11495, 0.345, 0.804, 0.483, 0.932, 13.752
Zookeeper, 203, 83, 641, 11290, 0.241, 0.710, 0.359, 0.903, 9.274
