Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 186, 134, 220, 2783, 0.458, 0.581, 0.512, 0.790, 3.757
ArgoUML, 224, 96, 603, 2400, 0.271, 0.700, 0.391, 0.644, 1.813
Columba, 201, 119, 555, 2448, 0.266, 0.628, 0.374, 0.638, 1.761
EMF, 226, 94, 384, 2619, 0.370, 0.706, 0.486, 0.740, 2.847
Hibernate, 216, 104, 465, 2538, 0.317, 0.675, 0.432, 0.696, 2.294
JEdit, 244, 76, 523, 2480, 0.318, 0.762, 0.449, 0.697, 2.304
JFreeChart, 209, 111, 407, 2596, 0.339, 0.653, 0.447, 0.716, 2.523
JMeter, 199, 121, 308, 2695, 0.393, 0.622, 0.481, 0.755, 3.076
JRuby, 213, 107, 380, 2623, 0.359, 0.666, 0.467, 0.732, 2.730
SQuirrel, 206, 114, 340, 2663, 0.377, 0.644, 0.476, 0.745, 2.918
Dubbo, 73, 247, 264, 2739, 0.217, 0.228, 0.222, 0.555, 1.249
Gradle, 193, 127, 31, 2972, 0.862, 0.603, 0.710, 0.888, 7.947
Groovy, 106, 214, 238, 2765, 0.308, 0.331, 0.319, 0.687, 2.200
Hive, 202, 118, 249, 2754, 0.448, 0.631, 0.524, 0.785, 3.651
Maven, 89, 231, 287, 2716, 0.237, 0.278, 0.256, 0.593, 1.458
Poi, 182, 138, 356, 2647, 0.338, 0.569, 0.424, 0.715, 2.513
SpringFramework, 170, 150, 280, 2723, 0.378, 0.531, 0.442, 0.745, 2.923
Storm, 205, 115, 376, 2627, 0.353, 0.641, 0.455, 0.727, 2.664
Tomcat, 195, 125, 264, 2739, 0.425, 0.609, 0.501, 0.773, 3.412
Zookeeper, 189, 131, 387, 2616, 0.328, 0.591, 0.422, 0.707, 2.407
