Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 262, 114, 86, 2029, 0.753, 0.697, 0.724, 0.800, 3.988
ArgoUML, 247, 129, 357, 1758, 0.409, 0.657, 0.504, 0.631, 1.709
Columba, 263, 113, 254, 1861, 0.509, 0.699, 0.589, 0.703, 2.370
EMF, 272, 104, 165, 1950, 0.622, 0.723, 0.669, 0.757, 3.124
Hibernate, 310, 66, 71, 2044, 0.814, 0.824, 0.819, 0.814, 4.390
JEdit, 293, 83, 268, 1847, 0.522, 0.779, 0.625, 0.711, 2.460
JFreeChart, 277, 99, 210, 1905, 0.569, 0.737, 0.642, 0.735, 2.768
JMeter, 263, 113, 121, 1994, 0.685, 0.699, 0.692, 0.780, 3.537
JRuby, 265, 111, 197, 1918, 0.574, 0.705, 0.632, 0.737, 2.800
SQuirrel, 268, 108, 178, 1937, 0.601, 0.713, 0.652, 0.749, 2.981
Dubbo, 106, 270, 137, 1978, 0.436, 0.282, 0.342, 0.654, 1.890
Gradle, 94, 282, 62, 2053, 0.603, 0.250, 0.353, 0.749, 2.992
Groovy, 128, 248, 80, 2035, 0.615, 0.340, 0.438, 0.755, 3.077
Hive, 251, 125, 154, 1961, 0.620, 0.668, 0.643, 0.756, 3.106
Maven, 79, 297, 149, 1966, 0.346, 0.210, 0.262, 0.564, 1.296
Poi, 240, 136, 189, 1926, 0.559, 0.638, 0.596, 0.730, 2.706
SpringFramework, 248, 128, 124, 1991, 0.667, 0.660, 0.663, 0.774, 3.417
Storm, 277, 99, 197, 1918, 0.584, 0.737, 0.652, 0.742, 2.872
Tomcat, 252, 124, 159, 1956, 0.613, 0.670, 0.640, 0.754, 3.062
Zookeeper, 261, 115, 175, 1940, 0.599, 0.694, 0.643, 0.748, 2.966
