Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 679, 366, 1333, 26961, 0.337, 0.650, 0.444, 0.894, 8.475
ArgoUML, 726, 319, 4570, 23724, 0.137, 0.695, 0.229, 0.740, 2.849
Columba, 697, 348, 3603, 24691, 0.162, 0.667, 0.261, 0.780, 3.551
EMF, 760, 285, 2986, 25308, 0.203, 0.727, 0.317, 0.824, 4.696
Hibernate, 750, 295, 2604, 25690, 0.224, 0.718, 0.341, 0.841, 5.278
JEdit, 773, 272, 3369, 24925, 0.187, 0.740, 0.298, 0.809, 4.240
JFreeChart, 689, 356, 2427, 25867, 0.221, 0.659, 0.331, 0.839, 5.208
JMeter, 739, 306, 1836, 26458, 0.287, 0.707, 0.408, 0.876, 7.057
JRuby, 746, 299, 2561, 25733, 0.226, 0.714, 0.343, 0.842, 5.333
SQuirrel, 669, 376, 1847, 26447, 0.266, 0.640, 0.376, 0.866, 6.465
Dubbo, 313, 732, 1810, 26484, 0.147, 0.300, 0.198, 0.758, 3.139
Gradle, 273, 772, 1323, 26971, 0.171, 0.261, 0.207, 0.792, 3.802
Groovy, 393, 652, 1252, 27042, 0.239, 0.376, 0.292, 0.851, 5.707
Hive, 834, 211, 859, 27435, 0.493, 0.798, 0.609, 0.928, 12.831
Maven, 304, 741, 2865, 25429, 0.096, 0.291, 0.144, 0.629, 1.693
Poi, 636, 409, 1533, 26761, 0.293, 0.609, 0.396, 0.879, 7.232
SpringFramework, 653, 392, 1821, 26473, 0.264, 0.625, 0.371, 0.865, 6.410
Storm, 742, 303, 2386, 25908, 0.237, 0.710, 0.356, 0.850, 5.660
Tomcat, 679, 366, 1708, 26586, 0.284, 0.650, 0.396, 0.875, 6.986
Zookeeper, 634, 411, 2037, 26257, 0.237, 0.607, 0.341, 0.850, 5.664
