TP, FN, FP, TN, P    , R    , F1   , ER   , RI
62, 39, 66, 2884, 0.484, 0.614, 0.541, 0.932, 13.632
842, 126, 286, 4171, 0.746, 0.870, 0.803, 0.761, 3.183
102, 25, 31, 3931, 0.767, 0.803, 0.785, 0.960, 23.692
32, 41, 57, 2454, 0.360, 0.438, 0.395, 0.921, 11.727
269, 107, 78, 2037, 0.775, 0.715, 0.744, 0.805, 4.136
87, 107, 66, 4383, 0.569, 0.448, 0.501, 0.927, 12.609
64, 36, 48, 2345, 0.571, 0.640, 0.604, 0.930, 13.246
205, 76, 98, 3768, 0.677, 0.730, 0.702, 0.900, 8.985
323, 59, 103, 3166, 0.758, 0.846, 0.800, 0.862, 6.247
127, 73, 83, 4189, 0.605, 0.635, 0.620, 0.926, 12.522
57, 27, 35, 1529, 0.620, 0.679, 0.648, 0.918, 11.155
233, 87, 218, 2785, 0.517, 0.728, 0.604, 0.814, 4.365
185, 63, 163, 4023, 0.532, 0.746, 0.621, 0.895, 8.505
761, 284, 951, 27343, 0.445, 0.728, 0.552, 0.920, 11.480
93, 42, 52, 1031, 0.641, 0.689, 0.664, 0.827, 4.787
473, 144, 381, 14034, 0.554, 0.767, 0.643, 0.926, 12.494
68, 29, 227, 7387, 0.231, 0.701, 0.347, 0.945, 17.324
60, 31, 123, 3424, 0.328, 0.659, 0.438, 0.924, 12.108
218, 68, 366, 11565, 0.373, 0.762, 0.501, 0.937, 14.946
37, 25, 55, 2573, 0.402, 0.597, 0.481, 0.943, 16.449
