TP, FN, FP, TN, P    , R    , F1   , ER   , RI
39, 62, 28, 2922, 0.582, 0.386, 0.464, 0.943, 16.584
791, 177, 172, 4285, 0.821, 0.817, 0.819, 0.783, 3.603
107, 20, 19, 3943, 0.849, 0.843, 0.846, 0.963, 26.342
31, 42, 11, 2500, 0.738, 0.425, 0.539, 0.962, 25.127
271, 105, 30, 2085, 0.900, 0.721, 0.801, 0.832, 4.965
65, 129, 23, 4426, 0.739, 0.335, 0.461, 0.943, 16.678
77, 23, 43, 2350, 0.642, 0.770, 0.700, 0.937, 14.997
220, 61, 25, 3841, 0.898, 0.783, 0.837, 0.925, 12.252
323, 59, 45, 3224, 0.878, 0.846, 0.861, 0.881, 7.389
121, 79, 32, 4240, 0.791, 0.605, 0.686, 0.943, 16.683
60, 24, 25, 1539, 0.706, 0.714, 0.710, 0.928, 12.849
208, 112, 126, 2877, 0.623, 0.650, 0.636, 0.845, 5.467
196, 52, 91, 4095, 0.683, 0.790, 0.733, 0.918, 11.210
737, 308, 366, 27928, 0.668, 0.705, 0.686, 0.947, 17.759
91, 44, 41, 1042, 0.689, 0.674, 0.682, 0.839, 5.220
530, 87, 177, 14238, 0.750, 0.859, 0.801, 0.945, 17.264
68, 29, 57, 7557, 0.544, 0.701, 0.613, 0.977, 42.245
55, 36, 22, 3525, 0.714, 0.604, 0.655, 0.965, 27.556
182, 104, 119, 11812, 0.605, 0.636, 0.620, 0.961, 24.829
30, 32, 19, 2609, 0.612, 0.484, 0.541, 0.962, 25.564
