Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 686, 283, 275, 4182, 0.714, 0.708, 0.711, 0.750, 2.997
Columba, 901, 68, 230, 4227, 0.797, 0.930, 0.858, 0.776, 3.461
EMF, 783, 186, 200, 4257, 0.797, 0.808, 0.802, 0.776, 3.460
Hibernate, 829, 140, 216, 4241, 0.793, 0.856, 0.823, 0.775, 3.442
JEdit, 644, 325, 363, 4094, 0.640, 0.665, 0.652, 0.721, 2.581
JFreeChart, 857, 112, 318, 4139, 0.729, 0.884, 0.799, 0.755, 3.084
JMeter, 850, 119, 206, 4251, 0.805, 0.877, 0.840, 0.778, 3.507
JRuby, 886, 83, 222, 4235, 0.800, 0.914, 0.853, 0.777, 3.478
SQuirrel, 907, 62, 300, 4157, 0.751, 0.936, 0.834, 0.762, 3.208
Dubbo, 788, 181, 220, 4237, 0.782, 0.813, 0.797, 0.772, 3.377
Gradle, 766, 203, 169, 4288, 0.819, 0.791, 0.805, 0.782, 3.587
Groovy, 811, 158, 191, 4266, 0.809, 0.837, 0.823, 0.779, 3.532
Hive, 888, 81, 243, 4214, 0.785, 0.916, 0.846, 0.773, 3.396
Maven, 779, 190, 208, 4249, 0.789, 0.804, 0.797, 0.774, 3.420
Poi, 894, 75, 222, 4235, 0.801, 0.923, 0.858, 0.777, 3.486
SpringFramework, 860, 109, 232, 4225, 0.788, 0.888, 0.835, 0.773, 3.410
Storm, 880, 89, 258, 4199, 0.773, 0.908, 0.835, 0.769, 3.330
Tomcat, 878, 91, 258, 4199, 0.773, 0.906, 0.834, 0.769, 3.328
Zookeeper, 840, 129, 253, 4204, 0.769, 0.867, 0.815, 0.768, 3.303
