Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 167, 120, 406, 11525, 0.291, 0.582, 0.388, 0.919, 11.407
ArgoUML, 138, 149, 192, 11739, 0.418, 0.481, 0.447, 0.944, 16.803
Columba, 198, 89, 291, 11640, 0.405, 0.690, 0.510, 0.942, 16.238
EMF, 130, 157, 262, 11669, 0.332, 0.453, 0.383, 0.929, 13.118
Hibernate, 142, 145, 228, 11703, 0.384, 0.495, 0.432, 0.939, 15.338
JEdit, 163, 124, 922, 11009, 0.150, 0.568, 0.238, 0.844, 5.396
JFreeChart, 196, 91, 631, 11300, 0.237, 0.683, 0.352, 0.901, 9.089
JMeter, 156, 131, 209, 11722, 0.427, 0.544, 0.479, 0.945, 17.195
JRuby, 202, 85, 173, 11758, 0.539, 0.704, 0.610, 0.956, 21.932
SQuirrel, 153, 134, 275, 11656, 0.357, 0.533, 0.428, 0.934, 14.218
Dubbo, 167, 120, 274, 11657, 0.379, 0.582, 0.459, 0.938, 15.121
Gradle, 125, 162, 174, 11757, 0.418, 0.436, 0.427, 0.944, 16.797
Groovy, 139, 148, 160, 11771, 0.465, 0.484, 0.474, 0.949, 18.791
Hive, 203, 84, 234, 11697, 0.465, 0.707, 0.561, 0.949, 18.776
Maven, 151, 136, 407, 11524, 0.271, 0.526, 0.357, 0.913, 10.520
Poi, 198, 89, 199, 11732, 0.499, 0.690, 0.579, 0.953, 20.232
SpringFramework, 156, 131, 175, 11756, 0.471, 0.544, 0.505, 0.950, 19.064
Storm, 155, 132, 209, 11722, 0.426, 0.540, 0.476, 0.945, 17.128
Zookeeper, 176, 111, 353, 11578, 0.333, 0.613, 0.431, 0.929, 13.164
