Project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 34.0, 68.0, 64.5, 2885.5, 0.374, 0.333, 0.342, 0.905, 10.182
ArgoUML, 827.7, 141.3, 241.3, 4215.7, 0.774, 0.854, 0.811, 0.769, 3.336
Columba, 93.1, 34.9, 39.5, 3922.5, 0.722, 0.727, 0.718, 0.954, 22.055
EMF, 27.9, 46.1, 53.5, 2457.5, 0.403, 0.378, 0.374, 0.919, 13.069
Hibernate, 260.6, 116.4, 65.9, 2049.1, 0.807, 0.691, 0.742, 0.809, 4.335
JEdit, 51.4, 143.6, 44.2, 4404.8, 0.556, 0.264, 0.350, 0.923, 12.235
JFreeChart, 56.4, 44.6, 31.6, 2361.4, 0.672, 0.558, 0.597, 0.936, 15.597
JMeter, 192.4, 89.6, 79.2, 3786.8, 0.725, 0.682, 0.700, 0.902, 9.660
JRuby, 247.5, 135.5, 80.6, 3188.4, 0.760, 0.646, 0.690, 0.860, 6.251
SQuirrel, 123.4, 77.6, 94.1, 4177.9, 0.590, 0.614, 0.597, 0.920, 12.136
Dubbo, 46.5, 38.5, 33.1, 1530.9, 0.588, 0.547, 0.562, 0.908, 10.411
Gradle, 242.6, 78.4, 220.7, 2782.3, 0.531, 0.756, 0.622, 0.815, 4.504
Groovy, 184.6, 64.4, 165.8, 4020.2, 0.540, 0.741, 0.622, 0.892, 8.626
Hive, 747.2, 298.8, 884.6, 27409.4, 0.490, 0.714, 0.575, 0.921, 12.749
Maven, 95.1, 40.9, 59.8, 1023.2, 0.623, 0.699, 0.656, 0.818, 4.586
Poi, 436.8, 181.2, 318.9, 14096.1, 0.605, 0.707, 0.646, 0.926, 13.714
SpringFramework, 61.5, 36.5, 159.1, 7454.9, 0.325, 0.627, 0.420, 0.951, 24.599
Storm, 55.6, 36.4, 108.4, 3438.6, 0.378, 0.604, 0.456, 0.924, 13.957
Tomcat, 163.9, 123.1, 303.9, 11627.1, 0.382, 0.571, 0.449, 0.933, 15.280
Zookeeper, 31.7, 31.3, 74.2, 2553.8, 0.339, 0.504, 0.396, 0.923, 13.490
