Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 26, 48, 103, 2408, 0.202, 0.351, 0.256, 0.858, 6.041
ArgoUML, 21, 53, 37, 2474, 0.362, 0.284, 0.318, 0.921, 11.648
Columba, 26, 48, 24, 2487, 0.520, 0.351, 0.419, 0.945, 17.165
Hibernate, 26, 48, 66, 2445, 0.283, 0.351, 0.313, 0.899, 8.872
JEdit, 44, 30, 238, 2273, 0.156, 0.595, 0.247, 0.817, 4.450
JFreeChart, 45, 29, 206, 2305, 0.179, 0.608, 0.277, 0.840, 5.263
JMeter, 30, 44, 22, 2489, 0.577, 0.405, 0.476, 0.950, 19.153
JRuby, 29, 45, 21, 2490, 0.580, 0.392, 0.468, 0.951, 19.261
SQuirrel, 33, 41, 59, 2452, 0.359, 0.446, 0.398, 0.920, 11.530
Dubbo, 32, 42, 52, 2459, 0.381, 0.432, 0.405, 0.925, 12.308
Gradle, 31, 43, 43, 2468, 0.419, 0.419, 0.419, 0.932, 13.634
Groovy, 25, 49, 38, 2473, 0.397, 0.338, 0.365, 0.928, 12.862
Hive, 30, 44, 41, 2470, 0.423, 0.405, 0.414, 0.932, 13.760
Maven, 25, 49, 86, 2425, 0.225, 0.338, 0.270, 0.873, 6.868
Poi, 23, 51, 33, 2478, 0.411, 0.311, 0.354, 0.930, 13.347
SpringFramework, 26, 48, 34, 2477, 0.433, 0.351, 0.388, 0.934, 14.137
Storm, 29, 45, 74, 2437, 0.282, 0.392, 0.328, 0.898, 8.835
Tomcat, 34, 40, 62, 2449, 0.354, 0.459, 0.400, 0.919, 11.372
Zookeeper, 28, 46, 61, 2450, 0.315, 0.378, 0.344, 0.909, 9.990
