Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 53, 39, 175, 3372, 0.232, 0.576, 0.331, 0.891, 8.195
ArgoUML, 50, 42, 53, 3494, 0.485, 0.543, 0.513, 0.948, 18.201
Columba, 55, 37, 72, 3475, 0.433, 0.598, 0.502, 0.942, 16.130
EMF, 59, 33, 231, 3316, 0.203, 0.641, 0.309, 0.876, 7.047
Hibernate, 65, 27, 109, 3438, 0.374, 0.707, 0.489, 0.932, 13.776
JEdit, 56, 36, 439, 3108, 0.113, 0.609, 0.191, 0.777, 3.475
JFreeChart, 68, 24, 320, 3227, 0.175, 0.739, 0.283, 0.856, 5.932
JMeter, 57, 35, 100, 3447, 0.363, 0.620, 0.458, 0.930, 13.360
JRuby, 61, 31, 69, 3478, 0.469, 0.663, 0.550, 0.946, 17.560
SQuirrel, 59, 33, 101, 3446, 0.369, 0.641, 0.468, 0.931, 13.586
Dubbo, 56, 36, 96, 3451, 0.368, 0.609, 0.459, 0.931, 13.573
Gradle, 51, 41, 69, 3478, 0.425, 0.554, 0.481, 0.941, 15.811
Groovy, 60, 32, 108, 3439, 0.357, 0.652, 0.462, 0.929, 13.127
Hive, 63, 29, 81, 3466, 0.438, 0.685, 0.534, 0.942, 16.305
Maven, 53, 39, 134, 3413, 0.283, 0.576, 0.380, 0.911, 10.211
Poi, 62, 30, 72, 3475, 0.463, 0.674, 0.549, 0.945, 17.301
SpringFramework, 59, 33, 101, 3446, 0.369, 0.641, 0.468, 0.931, 13.586
Tomcat, 61, 31, 125, 3422, 0.328, 0.663, 0.439, 0.923, 11.972
Zookeeper, 56, 36, 111, 3436, 0.335, 0.609, 0.432, 0.925, 12.264
