Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 75, 120, 114, 4335, 0.397, 0.385, 0.391, 0.894, 8.451
ArgoUML, 38, 157, 25, 4424, 0.603, 0.195, 0.295, 0.930, 13.365
Columba, 36, 159, 33, 4416, 0.522, 0.185, 0.273, 0.920, 11.425
EMF, 85, 110, 80, 4369, 0.515, 0.436, 0.472, 0.918, 11.269
Hibernate, 62, 133, 53, 4396, 0.539, 0.318, 0.400, 0.922, 11.840
JFreeChart, 107, 88, 204, 4245, 0.344, 0.549, 0.423, 0.878, 7.194
JMeter, 52, 143, 51, 4398, 0.505, 0.267, 0.349, 0.917, 11.023
JRuby, 56, 139, 23, 4426, 0.709, 0.287, 0.409, 0.941, 15.882
SQuirrel, 69, 126, 57, 4392, 0.548, 0.354, 0.430, 0.923, 12.042
Dubbo, 36, 159, 58, 4391, 0.383, 0.185, 0.249, 0.890, 8.121
Gradle, 41, 154, 39, 4410, 0.513, 0.210, 0.298, 0.918, 11.205
Groovy, 38, 157, 38, 4411, 0.500, 0.195, 0.280, 0.916, 10.908
Hive, 68, 127, 42, 4407, 0.618, 0.349, 0.446, 0.932, 13.722
Maven, 66, 129, 81, 4368, 0.449, 0.338, 0.386, 0.906, 9.693
Poi, 68, 127, 33, 4416, 0.673, 0.349, 0.459, 0.938, 15.034
SpringFramework, 41, 154, 36, 4413, 0.532, 0.210, 0.301, 0.921, 11.681
Storm, 53, 142, 41, 4408, 0.564, 0.272, 0.367, 0.926, 12.428
Tomcat, 70, 125, 59, 4390, 0.543, 0.359, 0.432, 0.923, 11.923
Zookeeper, 56, 139, 58, 4391, 0.491, 0.287, 0.362, 0.915, 10.699
