Project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 35.7, 66.3, 81.8, 2868.2, 0.345, 0.350, 0.333, 0.893, 9.313
ArgoUML, 853.3, 115.7, 273.4, 4183.6, 0.759, 0.881, 0.814, 0.764, 3.249
Columba, 96.2, 31.8, 48.9, 3913.1, 0.691, 0.752, 0.713, 0.952, 21.073
EMF, 29.6, 44.4, 68.4, 2442.6, 0.361, 0.400, 0.361, 0.910, 11.605
Hibernate, 269.1, 107.9, 81.2, 2033.8, 0.782, 0.714, 0.743, 0.803, 4.167
JEdit, 58.8, 136.2, 59.2, 4389.8, 0.524, 0.301, 0.370, 0.917, 11.469
JFreeChart, 57.7, 43.3, 36.5, 2356.5, 0.635, 0.572, 0.591, 0.933, 14.680
JMeter, 197.3, 84.7, 101.5, 3764.5, 0.687, 0.700, 0.688, 0.896, 9.103
JRuby, 258.0, 125.0, 102.7, 3166.3, 0.727, 0.674, 0.691, 0.852, 5.930
SQuirrel, 129.1, 71.9, 118.6, 4153.4, 0.544, 0.642, 0.583, 0.913, 11.111
Dubbo, 47.9, 37.1, 37.6, 1526.4, 0.568, 0.564, 0.562, 0.905, 10.020
Gradle, 250.2, 70.8, 258.7, 2744.3, 0.504, 0.779, 0.609, 0.804, 4.216
Groovy, 190.7, 58.3, 197.6, 3988.4, 0.514, 0.766, 0.610, 0.885, 8.146
Hive, 772.5, 273.5, 1096.9, 27197.1, 0.450, 0.739, 0.552, 0.913, 11.629
Maven, 97.5, 38.5, 69.4, 1013.6, 0.595, 0.717, 0.647, 0.809, 4.333
Poi, 454.5, 163.5, 395.2, 14019.8, 0.568, 0.735, 0.634, 0.921, 12.818
SpringFramework, 64.1, 33.9, 207.2, 7406.8, 0.287, 0.654, 0.387, 0.943, 21.548
Storm, 58.1, 33.9, 135.1, 3411.9, 0.347, 0.632, 0.437, 0.916, 12.706
Tomcat, 172.1, 114.9, 377.9, 11553.1, 0.350, 0.599, 0.432, 0.925, 13.905
Zookeeper, 33.2, 29.8, 95.2, 2532.8, 0.299, 0.526, 0.370, 0.911, 11.766
