Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 351, 267, 473, 13942, 0.426, 0.568, 0.487, 0.903, 9.362
ArgoUML, 359, 259, 138, 14277, 0.722, 0.581, 0.644, 0.943, 16.571
Columba, 525, 93, 169, 14246, 0.756, 0.850, 0.800, 0.946, 17.402
EMF, 426, 192, 617, 13798, 0.408, 0.689, 0.513, 0.899, 8.935
Hibernate, 468, 150, 299, 14116, 0.610, 0.757, 0.676, 0.933, 13.843
JEdit, 322, 296, 1280, 13135, 0.201, 0.521, 0.290, 0.795, 3.889
JFreeChart, 496, 122, 799, 13616, 0.383, 0.803, 0.519, 0.893, 8.317
JMeter, 455, 163, 220, 14195, 0.674, 0.736, 0.704, 0.939, 15.397
JRuby, 530, 88, 225, 14190, 0.702, 0.858, 0.772, 0.941, 16.076
SQuirrel, 475, 143, 324, 14091, 0.594, 0.769, 0.670, 0.931, 13.461
Dubbo, 512, 106, 355, 14060, 0.591, 0.828, 0.690, 0.930, 13.365
Gradle, 372, 246, 254, 14161, 0.594, 0.602, 0.598, 0.931, 13.455
Groovy, 450, 168, 250, 14165, 0.643, 0.728, 0.683, 0.936, 14.638
Hive, 535, 83, 291, 14124, 0.648, 0.866, 0.741, 0.937, 14.755
Maven, 450, 168, 403, 14012, 0.528, 0.728, 0.612, 0.922, 11.833
SpringFramework, 479, 139, 251, 14164, 0.656, 0.775, 0.711, 0.937, 14.961
Storm, 464, 154, 375, 14040, 0.553, 0.751, 0.637, 0.926, 12.453
Tomcat, 512, 106, 390, 14025, 0.568, 0.828, 0.674, 0.928, 12.808
Zookeeper, 455, 163, 395, 14020, 0.535, 0.736, 0.620, 0.923, 12.021
