Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 174, 113, 569, 11362, 0.234, 0.606, 0.338, 0.900, 8.970
ArgoUML, 135, 152, 217, 11714, 0.384, 0.470, 0.423, 0.939, 15.327
Columba, 186, 101, 205, 11726, 0.476, 0.648, 0.549, 0.951, 19.251
EMF, 157, 130, 465, 11466, 0.252, 0.547, 0.345, 0.907, 9.746
Hibernate, 157, 130, 290, 11641, 0.351, 0.547, 0.428, 0.933, 13.952
JEdit, 169, 118, 1027, 10904, 0.141, 0.589, 0.228, 0.834, 5.016
JFreeChart, 213, 74, 992, 10939, 0.177, 0.742, 0.286, 0.867, 6.525
JMeter, 167, 120, 270, 11661, 0.382, 0.582, 0.461, 0.939, 15.269
JRuby, 207, 80, 174, 11757, 0.543, 0.721, 0.620, 0.957, 22.129
SQuirrel, 156, 131, 323, 11608, 0.326, 0.544, 0.407, 0.928, 12.865
Dubbo, 193, 94, 380, 11551, 0.337, 0.672, 0.449, 0.930, 13.339
Gradle, 142, 145, 219, 11712, 0.393, 0.495, 0.438, 0.940, 15.746
Groovy, 145, 142, 234, 11697, 0.383, 0.505, 0.435, 0.939, 15.287
Hive, 211, 76, 269, 11662, 0.440, 0.735, 0.550, 0.947, 17.714
Maven, 165, 122, 421, 11510, 0.282, 0.575, 0.378, 0.917, 10.987
Poi, 200, 87, 245, 11686, 0.449, 0.697, 0.546, 0.948, 18.133
SpringFramework, 158, 129, 197, 11734, 0.445, 0.551, 0.492, 0.947, 17.947
Storm, 164, 123, 318, 11613, 0.340, 0.571, 0.427, 0.931, 13.485
Zookeeper, 170, 117, 366, 11565, 0.317, 0.592, 0.413, 0.926, 12.502
