Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 70, 65, 70, 1013, 0.500, 0.519, 0.509, 0.778, 3.511
ArgoUML, 90, 45, 178, 905, 0.336, 0.667, 0.447, 0.670, 2.030
Columba, 118, 17, 149, 934, 0.442, 0.874, 0.587, 0.749, 2.987
EMF, 97, 38, 113, 970, 0.462, 0.719, 0.562, 0.760, 3.167
Hibernate, 95, 40, 127, 956, 0.428, 0.704, 0.532, 0.741, 2.861
JEdit, 112, 23, 169, 914, 0.399, 0.830, 0.538, 0.722, 2.596
JFreeChart, 93, 42, 157, 926, 0.372, 0.689, 0.483, 0.702, 2.356
JMeter, 96, 39, 93, 990, 0.508, 0.711, 0.593, 0.782, 3.583
JRuby, 99, 36, 128, 955, 0.436, 0.733, 0.547, 0.746, 2.935
SQuirrel, 101, 34, 116, 967, 0.465, 0.748, 0.574, 0.762, 3.199
Dubbo, 37, 98, 77, 1006, 0.325, 0.274, 0.297, 0.659, 1.928
Gradle, 38, 97, 79, 1004, 0.325, 0.281, 0.302, 0.659, 1.930
Groovy, 65, 70, 71, 1012, 0.478, 0.481, 0.480, 0.768, 3.312
Hive, 91, 44, 103, 980, 0.469, 0.674, 0.553, 0.764, 3.232
Maven, 80, 55, 33, 1050, 0.708, 0.593, 0.645, 0.843, 5.387
Poi, 95, 40, 139, 944, 0.406, 0.704, 0.515, 0.727, 2.663
SpringFramework, 96, 39, 166, 917, 0.366, 0.711, 0.484, 0.698, 2.306
Storm, 79, 56, 114, 969, 0.409, 0.585, 0.482, 0.729, 2.693
Tomcat, 98, 37, 135, 948, 0.421, 0.726, 0.533, 0.736, 2.795
Zookeeper, 43, 92, 115, 968, 0.272, 0.319, 0.294, 0.593, 1.455
