Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 148, 100, 292, 3894, 0.336, 0.597, 0.430, 0.834, 5.014
ArgoUML, 165, 83, 568, 3618, 0.225, 0.665, 0.336, 0.752, 3.025
Columba, 203, 45, 687, 3499, 0.228, 0.819, 0.357, 0.755, 3.078
EMF, 203, 45, 432, 3754, 0.320, 0.819, 0.460, 0.825, 4.716
Hibernate, 200, 48, 318, 3868, 0.386, 0.806, 0.522, 0.855, 5.903
JEdit, 221, 27, 558, 3628, 0.284, 0.891, 0.430, 0.803, 4.072
JFreeChart, 183, 65, 514, 3672, 0.263, 0.738, 0.387, 0.787, 3.694
JMeter, 198, 50, 304, 3882, 0.394, 0.798, 0.528, 0.858, 6.052
JRuby, 197, 51, 463, 3723, 0.298, 0.794, 0.434, 0.813, 4.337
SQuirrel, 209, 39, 527, 3659, 0.284, 0.843, 0.425, 0.803, 4.077
Dubbo, 72, 176, 269, 3917, 0.211, 0.290, 0.244, 0.735, 2.775
Gradle, 87, 161, 186, 4000, 0.319, 0.351, 0.334, 0.824, 4.698
Groovy, 186, 62, 206, 3980, 0.474, 0.750, 0.581, 0.882, 7.483
Hive, 191, 57, 485, 3701, 0.283, 0.770, 0.413, 0.802, 4.052
Maven, 81, 167, 424, 3762, 0.160, 0.327, 0.215, 0.651, 1.868
Poi, 183, 65, 529, 3657, 0.257, 0.738, 0.381, 0.782, 3.595
SpringFramework, 196, 52, 385, 3801, 0.337, 0.790, 0.473, 0.834, 5.031
Storm, 167, 81, 370, 3816, 0.311, 0.673, 0.425, 0.820, 4.560
Tomcat, 200, 48, 479, 3707, 0.295, 0.806, 0.431, 0.810, 4.266
Zookeeper, 84, 164, 549, 3637, 0.133, 0.339, 0.191, 0.579, 1.373
