Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 616, 429, 1928, 26366, 0.242, 0.589, 0.343, 0.853, 5.798
ArgoUML, 726, 319, 4570, 23724, 0.137, 0.695, 0.229, 0.740, 2.849
Columba, 851, 194, 4646, 23648, 0.155, 0.814, 0.260, 0.770, 3.346
EMF, 810, 235, 2952, 25342, 0.215, 0.775, 0.337, 0.835, 5.045
Hibernate, 750, 295, 2604, 25690, 0.224, 0.718, 0.341, 0.841, 5.278
JEdit, 868, 177, 4605, 23689, 0.159, 0.831, 0.266, 0.775, 3.453
JFreeChart, 708, 337, 3649, 24645, 0.162, 0.678, 0.262, 0.781, 3.562
JMeter, 768, 277, 2057, 26237, 0.272, 0.735, 0.397, 0.869, 6.633
JRuby, 800, 245, 3643, 24651, 0.180, 0.766, 0.292, 0.802, 4.055
SQuirrel, 778, 267, 3225, 25069, 0.194, 0.744, 0.308, 0.817, 4.457
Dubbo, 282, 763, 2242, 26052, 0.112, 0.270, 0.158, 0.681, 2.137
Gradle, 381, 664, 1306, 26988, 0.226, 0.365, 0.279, 0.842, 5.341
Groovy, 476, 569, 1940, 26354, 0.197, 0.456, 0.275, 0.819, 4.531
Hive, 864, 181, 1562, 26732, 0.356, 0.827, 0.498, 0.900, 8.999
Maven, 328, 717, 3668, 24626, 0.082, 0.314, 0.130, 0.566, 1.305
Poi, 744, 301, 2278, 26016, 0.246, 0.712, 0.366, 0.855, 5.912
SpringFramework, 794, 251, 3006, 25288, 0.209, 0.760, 0.328, 0.830, 4.866
Storm, 596, 449, 3065, 25229, 0.163, 0.570, 0.253, 0.781, 3.571
Tomcat, 793, 252, 2703, 25591, 0.227, 0.759, 0.349, 0.843, 5.368
Zookeeper, 284, 761, 2589, 25705, 0.099, 0.272, 0.145, 0.640, 1.775
