Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 178, 103, 227, 3639, 0.440, 0.633, 0.519, 0.846, 5.486
ArgoUML, 190, 91, 453, 3413, 0.295, 0.676, 0.411, 0.771, 3.361
Columba, 221, 60, 556, 3310, 0.284, 0.786, 0.418, 0.762, 3.198
EMF, 224, 57, 359, 3507, 0.384, 0.797, 0.519, 0.824, 4.670
Hibernate, 216, 65, 254, 3612, 0.460, 0.769, 0.575, 0.853, 5.782
JEdit, 245, 36, 454, 3412, 0.351, 0.872, 0.500, 0.807, 4.173
JFreeChart, 198, 83, 380, 3486, 0.343, 0.705, 0.461, 0.802, 4.056
JMeter, 232, 49, 108, 3758, 0.682, 0.826, 0.747, 0.901, 9.070
JRuby, 220, 61, 308, 3558, 0.417, 0.783, 0.544, 0.837, 5.149
SQuirrel, 228, 53, 287, 3579, 0.443, 0.811, 0.573, 0.847, 5.534
Dubbo, 67, 214, 283, 3583, 0.191, 0.238, 0.212, 0.646, 1.825
Gradle, 89, 192, 167, 3699, 0.348, 0.317, 0.331, 0.805, 4.131
Groovy, 127, 154, 245, 3621, 0.341, 0.452, 0.389, 0.802, 4.038
Hive, 214, 67, 283, 3583, 0.431, 0.762, 0.550, 0.843, 5.355
Maven, 70, 211, 265, 3601, 0.209, 0.249, 0.227, 0.676, 2.084
Poi, 213, 68, 315, 3551, 0.403, 0.758, 0.527, 0.832, 4.954
SpringFramework, 223, 58, 293, 3573, 0.432, 0.794, 0.560, 0.843, 5.378
Storm, 172, 109, 390, 3476, 0.306, 0.612, 0.408, 0.779, 3.517
Tomcat, 216, 65, 268, 3598, 0.446, 0.769, 0.565, 0.848, 5.586
Zookeeper, 74, 207, 336, 3530, 0.180, 0.263, 0.214, 0.625, 1.664
