Project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 26.8, 75.2, 32.6, 2917.4, 0.479, 0.263, 0.330, 0.926, 13.319
ArgoUML, 756.5, 212.5, 174.1, 4282.9, 0.813, 0.781, 0.793, 0.780, 3.550
Columba, 81.3, 46.7, 19.8, 3942.2, 0.812, 0.635, 0.706, 0.961, 24.954
EMF, 23.5, 50.5, 26.8, 2484.2, 0.540, 0.317, 0.385, 0.940, 17.861
Hibernate, 237.1, 139.9, 35.4, 2079.6, 0.872, 0.629, 0.729, 0.825, 4.762
JEdit, 34.5, 160.5, 21.7, 4427.3, 0.626, 0.177, 0.270, 0.932, 13.901
JFreeChart, 49.4, 51.6, 17.8, 2375.2, 0.751, 0.489, 0.578, 0.945, 17.536
JMeter, 176.8, 105.2, 42.3, 3823.7, 0.810, 0.627, 0.704, 0.915, 10.912
JRuby, 215.7, 167.3, 47.4, 3221.6, 0.819, 0.563, 0.659, 0.871, 6.808
SQuirrel, 109.4, 91.6, 49.8, 4222.2, 0.696, 0.544, 0.607, 0.934, 14.479
Dubbo, 40.4, 44.6, 20.9, 1543.1, 0.657, 0.475, 0.544, 0.920, 11.746
Gradle, 218.3, 102.7, 148.9, 2854.1, 0.601, 0.680, 0.634, 0.837, 5.220
Groovy, 170.8, 78.2, 104.0, 4082.0, 0.627, 0.686, 0.652, 0.908, 10.168
Hive, 676.3, 369.7, 488.2, 27805.8, 0.599, 0.647, 0.617, 0.938, 15.802
Maven, 86.1, 49.9, 40.9, 1042.1, 0.683, 0.633, 0.655, 0.835, 5.125
Poi, 385.6, 232.4, 177.8, 14237.2, 0.691, 0.624, 0.651, 0.938, 15.806
SpringFramework, 54.8, 43.2, 80.4, 7533.6, 0.445, 0.560, 0.487, 0.966, 34.033
Storm, 49.4, 42.6, 53.8, 3493.2, 0.516, 0.537, 0.515, 0.947, 19.402
Tomcat, 138.1, 148.9, 160.8, 11770.2, 0.482, 0.481, 0.476, 0.948, 19.517
Zookeeper, 26.8, 36.2, 36.3, 2591.7, 0.455, 0.425, 0.434, 0.944, 18.443
