Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 23, 40, 39, 2589, 0.371, 0.365, 0.368, 0.937, 14.846
ArgoUML, 19, 44, 40, 2588, 0.322, 0.302, 0.311, 0.927, 12.755
Columba, 26, 37, 30, 2598, 0.464, 0.413, 0.437, 0.950, 18.832
EMF, 23, 40, 33, 2595, 0.411, 0.365, 0.387, 0.943, 16.543
Hibernate, 27, 36, 50, 2578, 0.351, 0.429, 0.386, 0.933, 13.978
JEdit, 26, 37, 127, 2501, 0.170, 0.413, 0.241, 0.862, 6.259
JFreeChart, 27, 36, 47, 2581, 0.365, 0.429, 0.394, 0.936, 14.585
JMeter, 23, 40, 23, 2605, 0.500, 0.365, 0.422, 0.953, 20.357
JRuby, 34, 29, 28, 2600, 0.548, 0.540, 0.544, 0.957, 22.424
SQuirrel, 25, 38, 31, 2597, 0.446, 0.397, 0.420, 0.948, 18.069
Dubbo, 26, 37, 23, 2605, 0.531, 0.413, 0.464, 0.956, 21.665
Gradle, 23, 40, 18, 2610, 0.561, 0.365, 0.442, 0.958, 22.962
Groovy, 26, 37, 34, 2594, 0.433, 0.413, 0.423, 0.946, 17.510
Hive, 31, 32, 24, 2604, 0.564, 0.492, 0.525, 0.958, 23.075
Maven, 24, 39, 46, 2582, 0.343, 0.381, 0.361, 0.932, 13.645
Poi, 35, 28, 19, 2609, 0.648, 0.556, 0.598, 0.964, 26.685
SpringFramework, 23, 40, 24, 2604, 0.489, 0.365, 0.418, 0.952, 19.903
Storm, 30, 33, 33, 2595, 0.476, 0.476, 0.476, 0.951, 19.340
Tomcat, 38, 25, 20, 2608, 0.655, 0.603, 0.628, 0.964, 26.985
