Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 151, 170, 106, 2897, 0.588, 0.470, 0.522, 0.836, 5.084
ArgoUML, 210, 111, 192, 2811, 0.522, 0.654, 0.581, 0.815, 4.409
Columba, 245, 76, 152, 2851, 0.617, 0.763, 0.682, 0.844, 5.390
EMF, 239, 82, 137, 2866, 0.636, 0.745, 0.686, 0.848, 5.582
Hibernate, 250, 71, 175, 2828, 0.588, 0.779, 0.670, 0.836, 5.091
JEdit, 187, 134, 271, 2732, 0.408, 0.583, 0.480, 0.763, 3.228
JFreeChart, 243, 78, 237, 2766, 0.506, 0.757, 0.607, 0.809, 4.242
JMeter, 234, 87, 123, 2880, 0.655, 0.729, 0.690, 0.853, 5.787
JRuby, 231, 90, 130, 2873, 0.640, 0.720, 0.677, 0.849, 5.626
SQuirrel, 230, 91, 145, 2858, 0.613, 0.717, 0.661, 0.843, 5.351
Dubbo, 180, 141, 93, 2910, 0.659, 0.561, 0.606, 0.854, 5.828
Groovy, 212, 109, 105, 2898, 0.669, 0.660, 0.665, 0.856, 5.925
Hive, 232, 89, 144, 2859, 0.617, 0.723, 0.666, 0.843, 5.389
Maven, 203, 118, 150, 2853, 0.575, 0.632, 0.602, 0.832, 4.955
Poi, 230, 91, 143, 2860, 0.617, 0.717, 0.663, 0.843, 5.385
SpringFramework, 232, 89, 139, 2864, 0.625, 0.723, 0.671, 0.846, 5.475
Storm, 224, 97, 145, 2858, 0.607, 0.698, 0.649, 0.841, 5.286
Tomcat, 228, 93, 147, 2856, 0.608, 0.710, 0.655, 0.841, 5.296
Zookeeper, 187, 134, 96, 2907, 0.661, 0.583, 0.619, 0.854, 5.842
