TP, FN, FP, TN, P    , R    , F1   , ER   , RI
43, 58, 34, 2916, 0.558, 0.426, 0.483, 0.941, 15.869
824, 144, 192, 4265, 0.811, 0.851, 0.831, 0.780, 3.545
106, 21, 21, 3941, 0.835, 0.835, 0.835, 0.963, 25.873
32, 41, 15, 2496, 0.681, 0.438, 0.533, 0.959, 23.100
279, 97, 44, 2071, 0.864, 0.742, 0.798, 0.825, 4.723
68, 126, 26, 4423, 0.723, 0.351, 0.472, 0.942, 16.313
77, 23, 56, 2337, 0.579, 0.770, 0.661, 0.931, 13.433
219, 62, 37, 3829, 0.855, 0.779, 0.816, 0.921, 11.625
332, 50, 60, 3209, 0.847, 0.869, 0.858, 0.876, 7.095
125, 75, 49, 4223, 0.718, 0.625, 0.668, 0.938, 15.063
59, 25, 31, 1533, 0.656, 0.702, 0.678, 0.922, 11.861
224, 96, 142, 2861, 0.612, 0.700, 0.653, 0.843, 5.355
203, 45, 106, 4080, 0.657, 0.819, 0.729, 0.915, 10.746
774, 271, 434, 27860, 0.641, 0.741, 0.687, 0.944, 16.989
97, 38, 41, 1042, 0.703, 0.719, 0.711, 0.842, 5.342
535, 82, 242, 14173, 0.689, 0.867, 0.768, 0.940, 15.775
70, 27, 76, 7538, 0.479, 0.722, 0.576, 0.974, 37.114
60, 31, 21, 3526, 0.741, 0.659, 0.698, 0.966, 28.613
197, 89, 154, 11777, 0.561, 0.689, 0.619, 0.958, 22.975
33, 29, 31, 2597, 0.516, 0.532, 0.524, 0.955, 21.371
