TP, FN, FP, TN, P    , R    , F1   , ER   , RI
44, 57, 44, 2906, 0.500, 0.436, 0.466, 0.934, 14.104
839, 129, 197, 4260, 0.810, 0.867, 0.837, 0.780, 3.539
109, 18, 28, 3934, 0.796, 0.858, 0.826, 0.961, 24.616
35, 38, 22, 2489, 0.614, 0.479, 0.538, 0.954, 20.735
275, 101, 47, 2068, 0.854, 0.731, 0.788, 0.823, 4.658
71, 123, 31, 4418, 0.696, 0.366, 0.480, 0.940, 15.659
78, 22, 57, 2336, 0.578, 0.780, 0.664, 0.931, 13.404
222, 59, 44, 3822, 0.835, 0.790, 0.812, 0.919, 11.317
333, 49, 64, 3205, 0.839, 0.872, 0.855, 0.875, 7.017
124, 76, 43, 4229, 0.743, 0.620, 0.676, 0.940, 15.603
62, 22, 34, 1530, 0.646, 0.738, 0.689, 0.921, 11.671
229, 91, 159, 2844, 0.590, 0.716, 0.647, 0.837, 5.129
203, 45, 116, 4070, 0.636, 0.819, 0.716, 0.912, 10.378
783, 262, 503, 27791, 0.609, 0.749, 0.672, 0.942, 16.094
97, 38, 51, 1032, 0.655, 0.719, 0.686, 0.831, 4.913
530, 87, 288, 14127, 0.648, 0.859, 0.739, 0.937, 14.785
70, 27, 86, 7528, 0.449, 0.722, 0.553, 0.972, 34.671
59, 32, 40, 3507, 0.596, 0.648, 0.621, 0.958, 22.825
194, 92, 168, 11763, 0.536, 0.678, 0.599, 0.956, 21.892
32, 30, 32, 2596, 0.500, 0.516, 0.508, 0.954, 20.694
