Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 441, 605, 280, 28014, 0.612, 0.422, 0.499, 0.942, 16.157
ArgoUML, 648, 398, 546, 27748, 0.543, 0.620, 0.579, 0.934, 14.223
Columba, 772, 274, 324, 27970, 0.704, 0.738, 0.721, 0.949, 18.758
EMF, 693, 353, 417, 27877, 0.624, 0.663, 0.643, 0.943, 16.512
Hibernate, 759, 287, 616, 27678, 0.552, 0.726, 0.627, 0.935, 14.483
JEdit, 502, 544, 1080, 27214, 0.317, 0.480, 0.382, 0.888, 7.901
JFreeChart, 690, 356, 619, 27675, 0.527, 0.660, 0.586, 0.932, 13.786
JMeter, 721, 325, 329, 27965, 0.687, 0.689, 0.688, 0.948, 18.261
JRuby, 776, 270, 348, 27946, 0.690, 0.742, 0.715, 0.948, 18.365
SQuirrel, 741, 305, 378, 27916, 0.662, 0.708, 0.685, 0.946, 17.574
Dubbo, 503, 543, 301, 27993, 0.626, 0.481, 0.544, 0.943, 16.549
Gradle, 561, 485, 413, 27881, 0.576, 0.536, 0.555, 0.938, 15.156
Groovy, 598, 448, 218, 28076, 0.733, 0.572, 0.642, 0.951, 19.556
Maven, 638, 408, 664, 27630, 0.490, 0.610, 0.543, 0.927, 12.745
Poi, 781, 265, 292, 28002, 0.728, 0.747, 0.737, 0.951, 19.416
SpringFramework, 696, 350, 271, 28023, 0.720, 0.665, 0.692, 0.950, 19.189
Storm, 644, 402, 272, 28022, 0.703, 0.616, 0.656, 0.949, 18.721
Tomcat, 663, 383, 351, 27943, 0.654, 0.634, 0.644, 0.945, 17.340
Zookeeper, 546, 500, 273, 28021, 0.667, 0.522, 0.586, 0.947, 17.700
