Project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 26.1, 75.9, 27.4, 2922.6, 0.514, 0.256, 0.332, 0.932, 14.372
ArgoUML, 725.7, 243.3, 155.7, 4301.3, 0.824, 0.749, 0.779, 0.783, 3.613
Columba, 78.3, 49.7, 17.1, 3944.9, 0.827, 0.611, 0.693, 0.961, 25.433
EMF, 21.9, 52.1, 20.5, 2490.5, 0.596, 0.296, 0.382, 0.944, 19.806
Hibernate, 225.4, 151.6, 29.1, 2085.9, 0.886, 0.598, 0.710, 0.828, 4.855
JEdit, 32.2, 162.8, 18.2, 4430.8, 0.651, 0.165, 0.258, 0.934, 14.505
JFreeChart, 47.6, 53.4, 16.3, 2376.7, 0.761, 0.472, 0.566, 0.946, 17.798
JMeter, 170.1, 111.9, 37.5, 3828.5, 0.820, 0.603, 0.691, 0.916, 11.055
JRuby, 208.9, 174.1, 42.6, 3226.4, 0.827, 0.546, 0.649, 0.872, 6.882
SQuirrel, 103.2, 97.8, 42.7, 4229.3, 0.714, 0.513, 0.594, 0.935, 14.896
Dubbo, 39.4, 45.6, 18.6, 1545.4, 0.677, 0.464, 0.540, 0.923, 12.142
Gradle, 208.7, 112.3, 133.9, 2869.1, 0.616, 0.650, 0.627, 0.841, 5.378
Groovy, 164.1, 84.9, 91.6, 4094.4, 0.645, 0.659, 0.647, 0.912, 10.494
Hive, 651.2, 394.8, 420.6, 27873.4, 0.622, 0.623, 0.617, 0.940, 16.442
Maven, 82.5, 53.5, 36.7, 1046.3, 0.699, 0.606, 0.645, 0.839, 5.262
Poi, 369.4, 248.6, 154.1, 14260.9, 0.708, 0.598, 0.643, 0.940, 16.224
SpringFramework, 52.5, 45.5, 69.3, 7544.7, 0.465, 0.535, 0.490, 0.968, 35.558
Storm, 47.3, 44.7, 44.7, 3502.3, 0.544, 0.514, 0.519, 0.950, 20.509
Tomcat, 131.6, 155.4, 140.8, 11790.2, 0.499, 0.458, 0.472, 0.950, 20.263
Zookeeper, 25.3, 37.7, 30.3, 2597.7, 0.481, 0.402, 0.433, 0.948, 19.540
