Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 28, 64, 31, 3516, 0.475, 0.304, 0.371, 0.947, 17.772
ArgoUML, 45, 47, 49, 3498, 0.479, 0.489, 0.484, 0.947, 17.936
Columba, 54, 38, 29, 3518, 0.651, 0.587, 0.617, 0.961, 24.734
EMF, 49, 43, 55, 3492, 0.471, 0.533, 0.500, 0.946, 17.636
Hibernate, 62, 30, 92, 3455, 0.403, 0.674, 0.504, 0.937, 14.924
JEdit, 38, 54, 113, 3434, 0.252, 0.413, 0.313, 0.900, 8.954
JFreeChart, 48, 44, 82, 3465, 0.369, 0.522, 0.432, 0.932, 13.605
JMeter, 50, 42, 22, 3525, 0.694, 0.543, 0.610, 0.964, 26.468
JRuby, 59, 33, 39, 3508, 0.602, 0.641, 0.621, 0.958, 22.813
SQuirrel, 51, 41, 24, 3523, 0.680, 0.554, 0.611, 0.963, 25.897
Dubbo, 33, 59, 25, 3522, 0.569, 0.359, 0.440, 0.956, 21.505
Gradle, 34, 58, 29, 3518, 0.540, 0.370, 0.439, 0.953, 20.347
Groovy, 49, 43, 36, 3511, 0.576, 0.533, 0.554, 0.956, 21.802
Hive, 57, 35, 28, 3519, 0.671, 0.620, 0.644, 0.962, 25.525
Maven, 43, 49, 80, 3467, 0.350, 0.467, 0.400, 0.928, 12.828
Poi, 55, 37, 18, 3529, 0.753, 0.598, 0.667, 0.966, 28.801
SpringFramework, 49, 43, 22, 3525, 0.690, 0.533, 0.601, 0.963, 26.298
Tomcat, 53, 39, 37, 3510, 0.589, 0.576, 0.582, 0.957, 22.293
Zookeeper, 41, 51, 38, 3509, 0.519, 0.446, 0.480, 0.951, 19.528
