TP, FN, FP, TN, P    , R    , F1   , ER   , RI
41, 60, 25, 2925, 0.621, 0.406, 0.491, 0.947, 17.766
747, 221, 179, 4278, 0.807, 0.772, 0.789, 0.779, 3.521
103, 24, 15, 3947, 0.873, 0.811, 0.841, 0.964, 27.104
33, 40, 11, 2500, 0.750, 0.452, 0.564, 0.962, 25.548
265, 111, 36, 2079, 0.880, 0.705, 0.783, 0.829, 4.833
60, 134, 18, 4431, 0.769, 0.309, 0.441, 0.946, 17.410
77, 23, 51, 2342, 0.602, 0.770, 0.675, 0.933, 13.997
212, 69, 28, 3838, 0.883, 0.754, 0.814, 0.923, 12.036
325, 57, 43, 3226, 0.883, 0.851, 0.867, 0.882, 7.441
119, 81, 31, 4241, 0.793, 0.595, 0.680, 0.944, 16.739
60, 24, 28, 1536, 0.682, 0.714, 0.698, 0.925, 12.377
213, 107, 128, 2875, 0.625, 0.666, 0.644, 0.846, 5.486
194, 54, 96, 4090, 0.669, 0.782, 0.721, 0.916, 10.960
733, 312, 329, 27965, 0.690, 0.701, 0.696, 0.948, 18.378
88, 47, 41, 1042, 0.682, 0.652, 0.667, 0.838, 5.155
517, 100, 170, 14245, 0.753, 0.838, 0.793, 0.945, 17.334
64, 33, 56, 7558, 0.533, 0.660, 0.590, 0.976, 41.397
59, 32, 25, 3522, 0.702, 0.648, 0.674, 0.964, 27.080
181, 105, 111, 11820, 0.620, 0.633, 0.626, 0.962, 25.479
31, 31, 19, 2609, 0.620, 0.500, 0.554, 0.963, 25.900
