TP, FN, FP, TN, P    , R    , F1   , ER   , RI
52, 49, 41, 2909, 0.559, 0.515, 0.536, 0.941, 15.890
797, 171, 210, 4247, 0.791, 0.823, 0.807, 0.775, 3.436
90, 37, 24, 3938, 0.789, 0.709, 0.747, 0.961, 24.419
26, 47, 34, 2477, 0.433, 0.356, 0.391, 0.935, 14.339
249, 127, 43, 2072, 0.853, 0.662, 0.746, 0.823, 4.649
68, 126, 43, 4406, 0.613, 0.351, 0.446, 0.932, 13.662
66, 34, 34, 2359, 0.660, 0.660, 0.660, 0.939, 15.454
203, 78, 51, 3815, 0.799, 0.722, 0.759, 0.915, 10.795
296, 86, 70, 3199, 0.809, 0.775, 0.791, 0.871, 6.730
113, 87, 69, 4203, 0.621, 0.565, 0.592, 0.928, 12.883
52, 32, 25, 1539, 0.675, 0.619, 0.646, 0.925, 12.249
215, 105, 144, 2859, 0.599, 0.672, 0.633, 0.839, 5.219
178, 70, 115, 4071, 0.608, 0.718, 0.658, 0.908, 9.862
707, 338, 629, 27665, 0.529, 0.677, 0.594, 0.933, 13.857
86, 49, 35, 1048, 0.711, 0.637, 0.672, 0.844, 5.412
430, 187, 228, 14187, 0.653, 0.697, 0.675, 0.937, 14.921
61, 36, 98, 7516, 0.384, 0.629, 0.477, 0.967, 29.498
54, 37, 66, 3481, 0.450, 0.593, 0.512, 0.944, 16.990
207, 79, 200, 11731, 0.509, 0.724, 0.597, 0.954, 20.726
32, 30, 33, 2595, 0.492, 0.516, 0.504, 0.953, 20.360
