TP, FN, FP, TN, P    , R    , F1   , ER   , RI
60, 41, 73, 2877, 0.451, 0.594, 0.513, 0.927, 12.628
901, 67, 278, 4179, 0.764, 0.931, 0.839, 0.767, 3.283
113, 14, 39, 3923, 0.743, 0.890, 0.810, 0.958, 22.936
42, 31, 57, 2454, 0.424, 0.575, 0.488, 0.933, 14.017
302, 74, 84, 2031, 0.782, 0.803, 0.793, 0.807, 4.183
97, 97, 58, 4391, 0.626, 0.500, 0.556, 0.933, 13.977
79, 21, 67, 2326, 0.541, 0.790, 0.642, 0.926, 12.490
232, 49, 80, 3786, 0.744, 0.826, 0.782, 0.909, 9.974
347, 35, 101, 3168, 0.775, 0.908, 0.836, 0.865, 6.403
145, 55, 86, 4186, 0.628, 0.725, 0.673, 0.929, 13.035
65, 19, 41, 1523, 0.613, 0.774, 0.684, 0.917, 11.031
248, 72, 255, 2748, 0.493, 0.775, 0.603, 0.805, 4.120
214, 34, 172, 4014, 0.554, 0.863, 0.675, 0.899, 8.912
833, 212, 872, 27422, 0.489, 0.797, 0.606, 0.927, 12.717
106, 29, 65, 1018, 0.620, 0.785, 0.693, 0.821, 4.593
548, 69, 436, 13979, 0.557, 0.888, 0.685, 0.926, 12.568
72, 25, 178, 7436, 0.288, 0.742, 0.415, 0.956, 21.895
65, 26, 90, 3457, 0.419, 0.714, 0.528, 0.940, 15.765
226, 60, 290, 11641, 0.438, 0.790, 0.564, 0.947, 17.709
39, 23, 71, 2557, 0.355, 0.629, 0.453, 0.935, 14.383
