TP, FN, FP, TN, P    , R    , F1   , ER   , RI
51, 50, 48, 2902, 0.515, 0.505, 0.510, 0.936, 14.562
808, 160, 216, 4241, 0.789, 0.835, 0.811, 0.774, 3.422
92, 35, 22, 3940, 0.807, 0.724, 0.763, 0.962, 24.983
27, 46, 33, 2478, 0.450, 0.370, 0.406, 0.937, 14.929
252, 124, 46, 2069, 0.846, 0.670, 0.748, 0.822, 4.602
73, 121, 49, 4400, 0.598, 0.376, 0.462, 0.930, 13.321
68, 32, 31, 2362, 0.687, 0.680, 0.683, 0.942, 16.124
203, 78, 58, 3808, 0.778, 0.722, 0.749, 0.913, 10.478
296, 86, 64, 3205, 0.822, 0.775, 0.798, 0.873, 6.858
113, 87, 64, 4208, 0.638, 0.565, 0.599, 0.930, 13.275
53, 31, 23, 1541, 0.697, 0.631, 0.663, 0.927, 12.682
217, 103, 164, 2839, 0.570, 0.678, 0.619, 0.831, 4.914
178, 70, 115, 4071, 0.608, 0.718, 0.658, 0.908, 9.862
721, 324, 625, 27669, 0.536, 0.690, 0.603, 0.934, 14.039
85, 50, 35, 1048, 0.708, 0.630, 0.667, 0.844, 5.391
438, 179, 202, 14213, 0.684, 0.710, 0.697, 0.940, 15.673
62, 35, 123, 7491, 0.335, 0.639, 0.440, 0.962, 25.642
54, 37, 66, 3481, 0.450, 0.593, 0.512, 0.944, 16.990
211, 75, 217, 11714, 0.493, 0.738, 0.591, 0.953, 20.059
31, 31, 35, 2593, 0.470, 0.500, 0.484, 0.951, 19.379
