Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 147, 134, 105, 3761, 0.583, 0.523, 0.552, 0.884, 7.609
ArgoUML, 190, 91, 453, 3413, 0.295, 0.676, 0.411, 0.771, 3.361
Columba, 195, 86, 316, 3550, 0.382, 0.694, 0.492, 0.822, 4.632
EMF, 217, 64, 316, 3550, 0.407, 0.772, 0.533, 0.834, 5.008
Hibernate, 216, 65, 254, 3612, 0.460, 0.769, 0.575, 0.853, 5.782
JEdit, 234, 47, 194, 3672, 0.547, 0.833, 0.660, 0.876, 7.069
JFreeChart, 195, 86, 237, 3629, 0.451, 0.694, 0.547, 0.850, 5.662
JMeter, 239, 42, 47, 3819, 0.836, 0.851, 0.843, 0.919, 11.333
JRuby, 197, 84, 217, 3649, 0.476, 0.701, 0.567, 0.858, 6.023
SQuirrel, 212, 69, 199, 3667, 0.516, 0.754, 0.613, 0.869, 6.612
Dubbo, 111, 170, 161, 3705, 0.408, 0.395, 0.401, 0.834, 5.023
Gradle, 74, 207, 134, 3732, 0.356, 0.263, 0.303, 0.810, 4.250
Groovy, 159, 122, 107, 3759, 0.598, 0.566, 0.581, 0.887, 7.822
Hive, 200, 81, 150, 3716, 0.571, 0.712, 0.634, 0.881, 7.433
Maven, 80, 201, 206, 3660, 0.280, 0.285, 0.282, 0.758, 3.128
Poi, 177, 104, 158, 3708, 0.528, 0.630, 0.575, 0.872, 6.798
SpringFramework, 215, 66, 209, 3657, 0.507, 0.765, 0.610, 0.866, 6.483
Storm, 211, 70, 261, 3605, 0.447, 0.751, 0.560, 0.848, 5.597
Tomcat, 204, 77, 125, 3741, 0.620, 0.726, 0.669, 0.891, 8.151
Zookeeper, 141, 140, 130, 3736, 0.520, 0.502, 0.511, 0.870, 6.679
