Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 56, 79, 57, 1026, 0.496, 0.415, 0.452, 0.776, 3.471
ArgoUML, 90, 45, 178, 905, 0.336, 0.667, 0.447, 0.670, 2.030
Columba, 93, 42, 108, 975, 0.463, 0.689, 0.554, 0.760, 3.174
EMF, 96, 39, 109, 974, 0.468, 0.711, 0.565, 0.763, 3.225
Hibernate, 95, 40, 127, 956, 0.428, 0.704, 0.532, 0.741, 2.861
JEdit, 102, 33, 103, 980, 0.498, 0.756, 0.600, 0.777, 3.489
JFreeChart, 84, 51, 86, 997, 0.494, 0.622, 0.551, 0.776, 3.458
JMeter, 89, 46, 76, 1007, 0.539, 0.659, 0.593, 0.795, 3.867
JRuby, 94, 41, 118, 965, 0.443, 0.696, 0.542, 0.750, 3.000
SQuirrel, 93, 42, 82, 1001, 0.531, 0.689, 0.600, 0.791, 3.795
Dubbo, 53, 82, 89, 994, 0.373, 0.393, 0.383, 0.703, 2.367
Gradle, 35, 100, 56, 1027, 0.385, 0.259, 0.310, 0.712, 2.470
Groovy, 58, 77, 57, 1026, 0.504, 0.430, 0.464, 0.780, 3.550
Hive, 86, 49, 101, 982, 0.460, 0.637, 0.534, 0.759, 3.149
Maven, 85, 50, 9, 1074, 0.904, 0.630, 0.742, 0.877, 7.158
Poi, 84, 51, 87, 996, 0.491, 0.622, 0.549, 0.774, 3.432
SpringFramework, 83, 52, 94, 989, 0.469, 0.615, 0.532, 0.764, 3.231
Storm, 96, 39, 66, 1017, 0.593, 0.711, 0.646, 0.813, 4.347
Tomcat, 94, 41, 120, 963, 0.439, 0.696, 0.539, 0.748, 2.963
Zookeeper, 59, 76, 55, 1028, 0.518, 0.437, 0.474, 0.786, 3.669
