Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 93, 107, 130, 4142, 0.417, 0.465, 0.440, 0.893, 8.325
ArgoUML, 126, 74, 492, 3780, 0.204, 0.630, 0.308, 0.781, 3.559
Columba, 125, 75, 346, 3926, 0.265, 0.625, 0.373, 0.831, 4.934
EMF, 139, 61, 296, 3976, 0.320, 0.695, 0.438, 0.860, 6.145
Hibernate, 130, 70, 240, 4032, 0.351, 0.650, 0.456, 0.873, 6.856
JEdit, 143, 57, 276, 3996, 0.341, 0.715, 0.462, 0.869, 6.631
JFreeChart, 118, 82, 223, 4049, 0.346, 0.590, 0.436, 0.871, 6.737
JMeter, 112, 88, 146, 4126, 0.434, 0.560, 0.489, 0.897, 8.707
JRuby, 116, 84, 189, 4083, 0.380, 0.580, 0.459, 0.882, 7.504
SQuirrel, 166, 34, 101, 4171, 0.622, 0.830, 0.711, 0.928, 12.902
Dubbo, 75, 125, 165, 4107, 0.312, 0.375, 0.341, 0.857, 5.987
Gradle, 44, 156, 162, 4110, 0.214, 0.220, 0.217, 0.791, 3.776
Groovy, 86, 114, 143, 4129, 0.376, 0.430, 0.401, 0.881, 7.397
Hive, 109, 91, 130, 4142, 0.456, 0.545, 0.497, 0.902, 9.198
Maven, 65, 135, 311, 3961, 0.173, 0.325, 0.226, 0.741, 2.865
Poi, 97, 103, 189, 4083, 0.339, 0.485, 0.399, 0.868, 6.584
SpringFramework, 108, 92, 286, 3986, 0.274, 0.540, 0.364, 0.837, 5.129
Storm, 117, 83, 245, 4027, 0.323, 0.585, 0.416, 0.862, 6.227
Tomcat, 118, 82, 273, 3999, 0.302, 0.590, 0.399, 0.852, 5.748
Zookeeper, 96, 104, 161, 4111, 0.374, 0.480, 0.420, 0.880, 7.352
