TP, FN, FP, TN, P    , R    , F1   , ER   , RI
54, 47, 71, 2879, 0.432, 0.535, 0.478, 0.923, 12.050
895, 73, 270, 4187, 0.768, 0.925, 0.839, 0.768, 3.305
111, 16, 44, 3918, 0.716, 0.874, 0.787, 0.957, 22.057
40, 33, 46, 2465, 0.465, 0.548, 0.503, 0.939, 15.464
301, 75, 83, 2032, 0.784, 0.801, 0.792, 0.807, 4.193
87, 107, 45, 4404, 0.659, 0.448, 0.534, 0.937, 14.774
79, 21, 45, 2348, 0.637, 0.790, 0.705, 0.937, 14.883
228, 53, 76, 3790, 0.750, 0.811, 0.779, 0.910, 10.069
347, 35, 83, 3186, 0.807, 0.908, 0.855, 0.870, 6.713
136, 64, 70, 4202, 0.660, 0.680, 0.670, 0.932, 13.762
65, 19, 32, 1532, 0.670, 0.774, 0.718, 0.924, 12.147
248, 72, 237, 2766, 0.511, 0.775, 0.616, 0.812, 4.310
214, 34, 152, 4034, 0.585, 0.863, 0.697, 0.904, 9.454
839, 206, 793, 27501, 0.514, 0.803, 0.627, 0.931, 13.433
105, 30, 65, 1018, 0.618, 0.778, 0.689, 0.821, 4.573
550, 67, 405, 14010, 0.576, 0.891, 0.700, 0.929, 13.031
73, 24, 168, 7446, 0.303, 0.753, 0.432, 0.958, 23.079
64, 27, 76, 3471, 0.457, 0.703, 0.554, 0.945, 17.276
218, 68, 277, 11654, 0.440, 0.762, 0.558, 0.947, 17.813
40, 22, 47, 2581, 0.460, 0.645, 0.537, 0.950, 18.948
