TP, FN, FP, TN, P    , R    , F1   , ER   , RI
64, 37, 103, 2847, 0.383, 0.634, 0.478, 0.914, 10.577
894, 74, 312, 4145, 0.741, 0.924, 0.822, 0.759, 3.154
105, 22, 48, 3914, 0.686, 0.827, 0.750, 0.955, 21.096
33, 40, 87, 2424, 0.275, 0.452, 0.342, 0.897, 8.734
289, 87, 97, 2018, 0.749, 0.769, 0.759, 0.798, 3.960
91, 103, 106, 4343, 0.462, 0.469, 0.465, 0.910, 10.055
74, 26, 53, 2340, 0.583, 0.740, 0.652, 0.931, 13.526
215, 66, 135, 3731, 0.614, 0.765, 0.681, 0.890, 8.066
336, 46, 149, 3120, 0.693, 0.880, 0.775, 0.849, 5.621
139, 61, 143, 4129, 0.493, 0.695, 0.577, 0.909, 10.021
61, 23, 45, 1519, 0.575, 0.726, 0.642, 0.911, 10.290
255, 65, 299, 2704, 0.460, 0.797, 0.584, 0.791, 3.780
212, 36, 231, 3955, 0.479, 0.855, 0.614, 0.883, 7.556
820, 225, 1365, 26929, 0.375, 0.785, 0.508, 0.905, 9.536
101, 34, 63, 1020, 0.616, 0.748, 0.676, 0.820, 4.556
491, 126, 463, 13952, 0.515, 0.796, 0.625, 0.920, 11.539
67, 30, 288, 7326, 0.189, 0.691, 0.296, 0.933, 14.003
64, 27, 181, 3366, 0.261, 0.703, 0.381, 0.904, 9.443
228, 58, 471, 11460, 0.326, 0.797, 0.463, 0.928, 12.933
38, 24, 90, 2538, 0.297, 0.613, 0.400, 0.922, 11.881
