TP, FN, FP, TN, P    , R    , F1   , ER   , RI
58, 43, 60, 2890, 0.492, 0.574, 0.530, 0.933, 13.848
816, 152, 223, 4234, 0.785, 0.843, 0.813, 0.773, 3.401
99, 28, 31, 3931, 0.762, 0.780, 0.770, 0.959, 23.519
26, 47, 38, 2473, 0.406, 0.356, 0.380, 0.930, 13.380
256, 120, 63, 2052, 0.803, 0.681, 0.737, 0.812, 4.317
82, 112, 50, 4399, 0.621, 0.423, 0.503, 0.933, 13.867
70, 30, 45, 2348, 0.609, 0.700, 0.651, 0.934, 14.175
204, 77, 65, 3801, 0.758, 0.726, 0.742, 0.911, 10.192
310, 72, 71, 3198, 0.814, 0.812, 0.813, 0.871, 6.777
121, 79, 68, 4204, 0.640, 0.605, 0.622, 0.930, 13.315
56, 28, 26, 1538, 0.683, 0.667, 0.675, 0.925, 12.398
226, 94, 188, 2815, 0.546, 0.706, 0.616, 0.824, 4.669
185, 63, 122, 4064, 0.603, 0.746, 0.667, 0.907, 9.774
728, 317, 699, 27595, 0.510, 0.697, 0.589, 0.930, 13.323
81, 54, 42, 1041, 0.659, 0.600, 0.628, 0.832, 4.941
438, 179, 276, 14139, 0.613, 0.710, 0.658, 0.933, 13.945
64, 33, 143, 7471, 0.309, 0.660, 0.421, 0.959, 23.578
58, 33, 79, 3468, 0.423, 0.637, 0.509, 0.941, 15.925
217, 69, 252, 11679, 0.463, 0.759, 0.575, 0.949, 18.764
34, 28, 42, 2586, 0.447, 0.548, 0.493, 0.948, 18.410
