TP, FN, FP, TN, P    , R    , F1   , ER   , RI
68, 33, 146, 2804, 0.318, 0.673, 0.432, 0.896, 8.599
907, 61, 398, 4059, 0.695, 0.937, 0.798, 0.743, 2.895
118, 9, 102, 3860, 0.536, 0.929, 0.680, 0.942, 16.269
35, 38, 104, 2407, 0.252, 0.479, 0.330, 0.888, 7.913
310, 66, 157, 1958, 0.664, 0.824, 0.735, 0.773, 3.398
116, 78, 124, 4325, 0.483, 0.598, 0.535, 0.914, 10.568
78, 22, 92, 2301, 0.459, 0.780, 0.578, 0.913, 10.438
227, 54, 170, 3696, 0.572, 0.808, 0.670, 0.881, 7.438
352, 30, 190, 3079, 0.649, 0.921, 0.762, 0.839, 5.207
154, 46, 199, 4073, 0.436, 0.770, 0.557, 0.897, 8.755
63, 21, 62, 1502, 0.504, 0.750, 0.603, 0.899, 8.888
275, 45, 406, 2597, 0.404, 0.859, 0.549, 0.762, 3.193
223, 25, 319, 3867, 0.411, 0.899, 0.565, 0.864, 6.356
888, 157, 1882, 26412, 0.321, 0.850, 0.466, 0.889, 8.000
109, 26, 98, 985, 0.527, 0.807, 0.637, 0.790, 3.751
548, 69, 793, 13622, 0.409, 0.888, 0.560, 0.900, 8.956
74, 23, 412, 7202, 0.152, 0.763, 0.254, 0.917, 11.104
73, 18, 234, 3313, 0.238, 0.802, 0.367, 0.895, 8.506
234, 52, 693, 11238, 0.252, 0.818, 0.386, 0.907, 9.783
42, 20, 166, 2462, 0.202, 0.677, 0.311, 0.886, 7.761
