Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 467, 150, 851, 13564, 0.354, 0.757, 0.483, 0.884, 7.632
ArgoUML, 427, 190, 1707, 12708, 0.200, 0.692, 0.310, 0.795, 3.875
Columba, 513, 104, 1343, 13072, 0.276, 0.831, 0.415, 0.851, 5.734
EMF, 454, 163, 1124, 13291, 0.288, 0.736, 0.414, 0.857, 6.009
Hibernate, 474, 143, 1192, 13223, 0.285, 0.768, 0.415, 0.856, 5.932
JEdit, 490, 127, 1720, 12695, 0.222, 0.794, 0.347, 0.815, 4.402
JFreeChart, 447, 170, 2133, 12282, 0.173, 0.724, 0.280, 0.763, 3.221
JMeter, 479, 138, 1286, 13129, 0.271, 0.776, 0.402, 0.849, 5.612
JRuby, 456, 161, 1072, 13343, 0.298, 0.739, 0.425, 0.862, 6.271
SQuirrel, 488, 129, 2107, 12308, 0.188, 0.791, 0.304, 0.782, 3.582
Dubbo, 347, 270, 1155, 13260, 0.231, 0.562, 0.328, 0.822, 4.628
Gradle, 216, 401, 508, 13907, 0.298, 0.350, 0.322, 0.862, 6.269
Groovy, 338, 279, 983, 13432, 0.256, 0.548, 0.349, 0.840, 5.234
Hive, 475, 142, 1051, 13364, 0.311, 0.770, 0.443, 0.868, 6.584
Maven, 249, 368, 1353, 13062, 0.155, 0.404, 0.224, 0.736, 2.787
Poi, 548, 69, 628, 13787, 0.466, 0.888, 0.611, 0.912, 10.353
SpringFramework, 459, 158, 981, 13434, 0.319, 0.744, 0.446, 0.871, 6.766
Storm, 496, 121, 1467, 12948, 0.253, 0.804, 0.384, 0.838, 5.156
Tomcat, 539, 78, 1077, 13338, 0.334, 0.874, 0.483, 0.877, 7.126
Zookeeper, 450, 167, 1051, 13364, 0.300, 0.729, 0.425, 0.863, 6.304
