Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 94, 41, 79, 1004, 0.543, 0.696, 0.610, 0.796, 3.902
ArgoUML, 90, 45, 178, 905, 0.336, 0.667, 0.447, 0.670, 2.030
Columba, 94, 41, 108, 975, 0.465, 0.696, 0.558, 0.762, 3.198
EMF, 92, 43, 100, 983, 0.479, 0.681, 0.563, 0.769, 3.323
Hibernate, 95, 40, 127, 956, 0.428, 0.704, 0.532, 0.741, 2.861
JEdit, 110, 25, 149, 934, 0.425, 0.815, 0.558, 0.739, 2.832
JFreeChart, 87, 48, 147, 936, 0.372, 0.644, 0.472, 0.702, 2.354
JMeter, 89, 46, 111, 972, 0.445, 0.659, 0.531, 0.751, 3.015
JRuby, 94, 41, 116, 967, 0.448, 0.696, 0.545, 0.752, 3.039
SQuirrel, 98, 37, 115, 968, 0.460, 0.726, 0.563, 0.759, 3.151
Dubbo, 55, 80, 77, 1006, 0.417, 0.407, 0.412, 0.734, 2.759
Gradle, 43, 92, 63, 1020, 0.406, 0.319, 0.357, 0.727, 2.660
Groovy, 54, 81, 64, 1019, 0.458, 0.400, 0.427, 0.758, 3.129
Hive, 103, 32, 123, 960, 0.456, 0.763, 0.571, 0.757, 3.112
Maven, 85, 50, 9, 1074, 0.904, 0.630, 0.742, 0.877, 7.158
Poi, 92, 43, 125, 958, 0.424, 0.681, 0.523, 0.739, 2.825
SpringFramework, 63, 72, 97, 986, 0.394, 0.467, 0.427, 0.719, 2.552
Storm, 88, 47, 154, 929, 0.364, 0.652, 0.467, 0.695, 2.281
Tomcat, 98, 37, 140, 943, 0.412, 0.726, 0.525, 0.731, 2.715
Zookeeper, 78, 57, 86, 997, 0.476, 0.578, 0.522, 0.767, 3.291
