Project,Total,PositiveCount,TP,FN,FP,TN,Precision,Recall,F1,MCC
Ant,510,102,66,36,9,399,0.88,0.6471,0.7458,0.7059
ArgoUML,4845,969,902,67,226,3650,0.7996,0.9309,0.8603,0.8258
Columba,640,128,107,21,7,505,0.9386,0.8359,0.8843,0.8596
EMF,370,74,37,37,4,292,0.9024,0.5,0.6435,0.6199
Hibernate,1885,377,283,94,38,1470,0.8816,0.7507,0.8109,0.772
JEdit,975,195,78,117,8,772,0.907,0.4,0.5552,0.5497
JFreeChart,505,101,72,29,3,401,0.96,0.7129,0.8182,0.7935
JMeter,1410,282,216,66,29,1099,0.8816,0.766,0.8197,0.7815
JRuby,1915,383,340,43,56,1476,0.8586,0.8877,0.8729,0.8407
SQuirrel,1005,201,145,56,31,773,0.8239,0.7214,0.7692,0.7186
Dubbo,425,85,59,26,3,337,0.9516,0.6941,0.8027,0.7766
Gradle,1605,321,260,61,83,1201,0.758,0.81,0.7831,0.7273
Groovy,1245,249,213,36,33,963,0.8659,0.8554,0.8606,0.826
Hive,5230,1046,823,223,196,3988,0.8077,0.7868,0.7971,0.7473
Maven,680,136,103,33,21,523,0.8306,0.7574,0.7923,0.7446
Poi,3090,618,519,99,52,2420,0.9089,0.8398,0.873,0.8438
SpringFramework,490,98,75,23,22,370,0.7732,0.7653,0.7692,0.7119
Storm,460,92,64,28,10,358,0.8649,0.6957,0.7711,0.7278
Tomcat,1435,287,238,49,45,1103,0.841,0.8293,0.8351,0.7943
Zookeeper,315,63,36,27,7,245,0.8372,0.5714,0.6792,0.6334
