Project,Total,PositiveCount,TP,FN,FP,TN,Precision,Recall,F1,MCC
Ant,1224,102,53,49,14,1108,0.791,0.5196,0.6272,0.6162
ArgoUML,5426,969,879,90,215,4242,0.8035,0.9071,0.8522,0.8199
Columba,1536,128,106,22,8,1400,0.9298,0.8281,0.876,0.8672
EMF,888,74,34,40,12,802,0.7391,0.4595,0.5667,0.5546
Hibernate,2492,377,253,124,25,2090,0.9101,0.6711,0.7725,0.7504
JEdit,2340,195,63,132,14,2131,0.8182,0.3231,0.4632,0.4904
JFreeChart,1212,101,78,23,25,1086,0.7573,0.7723,0.7647,0.7431
JMeter,3384,282,225,57,100,3002,0.6923,0.7979,0.7414,0.7182
JRuby,3652,383,334,49,66,3203,0.835,0.8721,0.8531,0.8358
SQuirrel,2412,201,150,51,62,2149,0.7075,0.7463,0.7264,0.7011
Dubbo,1020,85,53,32,6,929,0.8983,0.6235,0.7361,0.7306
Gradle,3324,321,212,109,123,2880,0.6328,0.6604,0.6463,0.6078
Groovy,2988,249,213,36,74,2665,0.7422,0.8554,0.7948,0.777
Hive,12552,1046,839,207,308,11198,0.7315,0.8021,0.7652,0.7437
Maven,1219,136,97,39,38,1045,0.7185,0.7132,0.7159,0.6803
Poi,7416,618,428,190,65,6733,0.8682,0.6926,0.7705,0.7578
SpringFramework,1176,98,73,25,20,1058,0.7849,0.7449,0.7644,0.7439
Storm,1104,92,65,27,8,1004,0.8904,0.7065,0.7879,0.777
Tomcat,3444,287,208,79,33,3124,0.8631,0.7247,0.7879,0.7739
Zookeeper,756,63,37,26,6,687,0.8605,0.5873,0.6981,0.6905
