Project,Total,PositiveCount,TP,FN,FP,TN,Precision,Recall,F1,MCC
Ant,612,102,58,44,13,497,0.8169,0.5686,0.6705,0.6321
ArgoUML,5426,969,877,92,290,4167,0.7515,0.9051,0.8212,0.783
Columba,768,128,117,11,11,629,0.9141,0.9141,0.9141,0.8969
EMF,444,74,33,41,2,368,0.9429,0.4459,0.6055,0.6093
Hibernate,2262,377,293,84,45,1840,0.8669,0.7772,0.8196,0.7875
JEdit,1170,195,96,99,9,966,0.9143,0.4923,0.64,0.6299
JFreeChart,606,101,71,30,7,498,0.9103,0.703,0.7933,0.7669
JMeter,1692,282,219,63,31,1379,0.876,0.7766,0.8233,0.7925
JRuby,2298,383,333,50,65,1850,0.8367,0.8695,0.8528,0.8228
SQuirrel,1206,201,141,60,45,960,0.7581,0.7015,0.7287,0.6776
Dubbo,510,85,56,29,9,416,0.8615,0.6588,0.7467,0.7126
Gradle,1926,321,258,63,118,1487,0.6862,0.8037,0.7403,0.6866
Groovy,1494,249,203,46,49,1196,0.8056,0.8153,0.8104,0.7722
Hive,6276,1046,781,265,159,5071,0.8309,0.7467,0.7865,0.748
Maven,816,136,102,34,30,650,0.7727,0.75,0.7612,0.7144
Poi,3708,618,471,147,52,3038,0.9006,0.7621,0.8256,0.798
SpringFramework,588,98,66,32,11,479,0.8571,0.6735,0.7543,0.7192
Storm,552,92,66,26,13,447,0.8354,0.7174,0.7719,0.7334
Tomcat,1722,287,210,77,33,1402,0.8642,0.7317,0.7925,0.7587
Zookeeper,378,63,37,26,4,311,0.9024,0.5873,0.7115,0.6886
