Project,Total,PositiveCount,TP,FN,FP,TN,Precision,Recall,F1,MCC
Ant,2040,102,41,61,12,1926,0.7736,0.402,0.529,0.5422
ArgoUML,5426,969,848,121,179,4278,0.8257,0.8751,0.8497,0.8164
Columba,2560,128,104,24,10,2422,0.9123,0.8125,0.8595,0.8541
EMF,1480,74,26,48,4,1402,0.8667,0.3514,0.5,0.539
Hibernate,2492,377,287,90,56,2059,0.8367,0.7613,0.7972,0.7642
JEdit,3900,195,64,131,19,3686,0.7711,0.3282,0.4604,0.4879
JFreeChart,2020,101,72,29,25,1894,0.7423,0.7129,0.7273,0.7134
JMeter,4148,282,211,71,47,3819,0.8178,0.7482,0.7815,0.7672
JRuby,3652,383,310,73,44,3225,0.8757,0.8094,0.8412,0.8243
SQuirrel,4020,201,94,107,32,3787,0.746,0.4677,0.5749,0.5745
Dubbo,1649,85,61,24,19,1545,0.7625,0.7176,0.7394,0.7261
Gradle,3324,321,244,77,144,2859,0.6289,0.7601,0.6883,0.6551
Groovy,4435,249,177,72,59,4127,0.75,0.7108,0.7299,0.7146
Hive,20920,1046,785,261,404,19470,0.6602,0.7505,0.7025,0.6873
Maven,1219,136,87,49,23,1060,0.7909,0.6397,0.7073,0.6796
Poi,12360,618,443,175,120,11622,0.7869,0.7168,0.7502,0.7386
SpringFramework,1960,98,62,36,22,1840,0.7381,0.6327,0.6813,0.6681
Storm,1840,92,64,28,37,1711,0.6337,0.6957,0.6632,0.6454
Tomcat,5740,287,202,85,62,5391,0.7652,0.7038,0.7332,0.7205
Zookeeper,1260,63,39,24,12,1185,0.7647,0.619,0.6842,0.6735
