Project,Total,PositiveCount,TP,FN,FP,TN,Precision,Recall,F1,MCC
Ant,714,102,54,48,9,603,0.8571,0.5294,0.6545,0.635
ArgoUML,5426,969,906,63,381,4076,0.704,0.935,0.8032,0.7649
Columba,896,128,106,22,12,756,0.8983,0.8281,0.8618,0.8408
EMF,518,74,38,36,3,441,0.9268,0.5135,0.6609,0.6568
Hibernate,2492,377,274,103,46,2069,0.8562,0.7268,0.7862,0.7552
JEdit,1365,195,63,132,10,1160,0.863,0.3231,0.4701,0.4892
JFreeChart,707,101,81,20,23,583,0.7788,0.802,0.7902,0.7548
JMeter,1974,282,203,79,20,1672,0.9103,0.7199,0.804,0.7827
JRuby,2681,383,328,55,48,2250,0.8723,0.8564,0.8643,0.842
SQuirrel,1407,201,131,70,29,1177,0.8187,0.6517,0.7258,0.6919
Dubbo,595,85,59,26,14,496,0.8082,0.6941,0.7468,0.7111
Gradle,2247,321,239,82,93,1833,0.7199,0.7445,0.732,0.6866
Groovy,1743,249,212,37,55,1439,0.794,0.8514,0.8217,0.7914
Hive,7322,1046,877,169,242,6034,0.7837,0.8384,0.8102,0.7779
Maven,952,136,89,47,28,788,0.7607,0.6544,0.7036,0.6609
Poi,4326,618,485,133,66,3642,0.8802,0.7848,0.8298,0.805
SpringFramework,686,98,66,32,8,580,0.8919,0.6735,0.7674,0.7443
Storm,644,92,69,23,18,534,0.7931,0.75,0.7709,0.7344
Tomcat,2009,287,229,58,33,1689,0.874,0.7979,0.8342,0.8092
Zookeeper,441,63,32,31,5,373,0.8649,0.5079,0.64,0.6244
