Project,Total,PositiveCount,TP,FN,FP,TN,Precision,Recall,F1,MCC
Ant,204,102,82,20,10,92,0.8913,0.8039,0.8454,0.7093
ArgoUML,1938,969,932,37,127,842,0.8801,0.9618,0.9191,0.8344
Columba,256,128,118,10,5,123,0.9593,0.9219,0.9402,0.8835
EMF,148,74,47,27,5,69,0.9038,0.6351,0.746,0.5944
Hibernate,754,377,325,52,37,340,0.8978,0.8621,0.8796,0.7645
JEdit,390,195,112,83,8,187,0.9333,0.5744,0.7111,0.5778
JFreeChart,202,101,85,16,4,97,0.9551,0.8416,0.8947,0.8077
JMeter,564,282,224,58,14,268,0.9412,0.7943,0.8615,0.7539
JRuby,766,383,367,16,34,349,0.9152,0.9582,0.9362,0.8704
SQuirrel,402,201,177,24,29,172,0.8592,0.8806,0.8698,0.7365
Dubbo,170,85,68,17,6,79,0.9189,0.8,0.8553,0.7356
Gradle,642,321,303,18,56,265,0.844,0.9439,0.8912,0.7749
Groovy,498,249,223,26,24,225,0.9028,0.8956,0.8992,0.7992
Hive,2092,1046,940,106,130,916,0.8785,0.8987,0.8885,0.7746
Maven,272,136,115,21,17,119,0.8712,0.8456,0.8582,0.7209
Poi,1236,618,556,62,55,563,0.91,0.8997,0.9048,0.8107
SpringFramework,196,98,81,17,12,86,0.871,0.8265,0.8482,0.705
Storm,184,92,76,16,7,85,0.9157,0.8261,0.8686,0.7536
Tomcat,574,287,264,23,26,261,0.9103,0.9199,0.9151,0.8293
Zookeeper,126,63,49,14,4,59,0.9245,0.7778,0.8448,0.7235
