Project,Total,PositiveCount,TP,FN,FP,TN,Precision,Recall,F1,MCC
Ant,1938,102,53,49,24,1812,0.6883,0.5196,0.5922,0.5791
ArgoUML,5426,969,883,86,210,4247,0.8079,0.9112,0.8565,0.8252
Columba,2432,128,105,23,12,2292,0.8974,0.8203,0.8571,0.8505
EMF,1406,74,30,44,7,1325,0.8108,0.4054,0.5405,0.5582
Hibernate,2492,377,266,111,42,2073,0.8636,0.7056,0.7766,0.7466
JEdit,3705,195,68,127,31,3479,0.6869,0.3487,0.4626,0.4706
JFreeChart,1919,101,70,31,24,1794,0.7447,0.6931,0.7179,0.7034
JMeter,4148,282,213,69,33,3833,0.8659,0.7553,0.8068,0.7959
JRuby,3652,383,284,99,32,3237,0.8987,0.7415,0.8126,0.7974
SQuirrel,3819,201,114,87,44,3574,0.7215,0.5672,0.6351,0.6223
Dubbo,1615,85,55,30,15,1515,0.7857,0.6471,0.7097,0.6988
Gradle,3324,321,233,88,131,2872,0.6401,0.7259,0.6803,0.6453
Groovy,4435,249,186,63,56,4130,0.7686,0.747,0.7576,0.7435
Hive,19874,1046,758,288,200,18628,0.7912,0.7247,0.7565,0.7444
Maven,1219,136,92,44,33,1050,0.736,0.6765,0.705,0.6704
Poi,11742,618,462,156,107,11017,0.812,0.7476,0.7784,0.7674
SpringFramework,1862,98,63,35,10,1754,0.863,0.6429,0.7368,0.7331
Storm,1748,92,56,36,5,1651,0.918,0.6087,0.732,0.737
Tomcat,5453,287,197,90,47,5119,0.8074,0.6864,0.742,0.7315
Zookeeper,1197,63,31,32,20,1114,0.6078,0.4921,0.5439,0.5245
