Project,Total,PositiveCount,TP,FN,FP,TN,Precision,Recall,F1,MCC
Ant,1836,102,46,56,17,1717,0.7302,0.451,0.5576,0.5552
ArgoUML,5426,969,796,173,133,4324,0.8568,0.8215,0.8388,0.8049
Columba,2304,128,108,20,12,2164,0.9,0.8438,0.871,0.8641
EMF,1332,74,33,41,19,1239,0.6346,0.4459,0.5238,0.5095
Hibernate,2492,377,250,127,25,2090,0.9091,0.6631,0.7669,0.7448
JEdit,3510,195,75,120,22,3293,0.7732,0.3846,0.5137,0.5282
JFreeChart,1818,101,81,20,26,1691,0.757,0.802,0.7788,0.7658
JMeter,4148,282,221,61,46,3820,0.8277,0.7837,0.8051,0.7916
JRuby,3652,383,313,70,41,3228,0.8842,0.8172,0.8494,0.8333
SQuirrel,3618,201,102,99,18,3399,0.85,0.5075,0.6355,0.6424
Dubbo,1530,85,61,24,28,1417,0.6854,0.7176,0.7011,0.6833
Gradle,3324,321,237,84,140,2863,0.6286,0.7383,0.6791,0.6443
Groovy,4435,249,190,59,79,4107,0.7063,0.7631,0.7336,0.7177
Hive,18828,1046,763,283,269,17513,0.7393,0.7294,0.7344,0.7189
Maven,1219,136,100,36,35,1048,0.7407,0.7353,0.738,0.7052
Poi,11124,618,461,157,107,10399,0.8116,0.746,0.7774,0.7657
SpringFramework,1764,98,72,26,25,1641,0.7423,0.7347,0.7385,0.7232
Storm,1656,92,58,34,6,1558,0.9062,0.6304,0.7436,0.7446
Tomcat,5166,287,223,64,83,4796,0.7288,0.777,0.7521,0.7375
Zookeeper,1134,63,35,28,8,1063,0.814,0.5556,0.6604,0.6573
