Project,Total,PositiveCount,TP,FN,FP,TN,Precision,Recall,F1,MCC
Ant,816,102,53,49,14,700,0.791,0.5196,0.6272,0.6023
ArgoUML,5426,969,862,107,217,4240,0.7989,0.8896,0.8418,0.8069
Columba,1024,128,114,14,9,887,0.9268,0.8906,0.9084,0.8958
EMF,592,74,34,40,11,507,0.7556,0.4595,0.5714,0.5469
Hibernate,2492,377,243,134,36,2079,0.871,0.6446,0.7409,0.7131
JEdit,1560,195,75,120,18,1347,0.8065,0.3846,0.5208,0.5188
JFreeChart,808,101,85,16,16,691,0.8416,0.8416,0.8416,0.819
JMeter,2256,282,218,64,35,1939,0.8617,0.773,0.815,0.7916
JRuby,3064,383,341,42,65,2616,0.8399,0.8903,0.8644,0.8448
SQuirrel,1608,201,138,63,36,1371,0.7931,0.6866,0.736,0.7037
Dubbo,680,85,62,23,12,583,0.8378,0.7294,0.7799,0.7532
Gradle,2568,321,241,80,130,2117,0.6496,0.7508,0.6965,0.6518
Groovy,1992,249,204,45,54,1689,0.7907,0.8193,0.8047,0.7764
Hive,8368,1046,744,302,115,7207,0.8661,0.7113,0.7811,0.7579
Maven,1088,136,101,35,43,909,0.7014,0.7426,0.7214,0.6807
Poi,4944,618,480,138,85,4241,0.8496,0.7767,0.8115,0.787
SpringFramework,784,98,63,35,9,677,0.875,0.6429,0.7412,0.7212
Storm,736,92,61,31,2,642,0.9683,0.663,0.7871,0.7801
Tomcat,2296,287,229,58,55,1954,0.8063,0.7979,0.8021,0.774
Zookeeper,504,63,37,26,3,438,0.925,0.5873,0.7184,0.7102
