Project,Total,PositiveCount,TP,FN,FP,TN,Precision,Recall,F1,MCC
Ant,918,102,60,42,11,805,0.8451,0.5882,0.6936,0.6762
ArgoUML,5426,969,802,167,145,4312,0.8469,0.8277,0.8372,0.8023
Columba,1152,128,104,24,8,1016,0.9286,0.8125,0.8667,0.8536
EMF,666,74,41,33,21,571,0.6613,0.5541,0.6029,0.5609
Hibernate,2492,377,253,124,43,2072,0.8547,0.6711,0.7519,0.7207
JEdit,1755,195,86,109,20,1540,0.8113,0.441,0.5714,0.5649
JFreeChart,909,101,75,26,13,795,0.8523,0.7426,0.7937,0.7721
JMeter,2538,282,218,64,30,2226,0.879,0.773,0.8226,0.8041
JRuby,3447,383,336,47,62,3002,0.8442,0.8773,0.8604,0.8428
SQuirrel,1809,201,151,50,47,1561,0.7626,0.7512,0.7569,0.7268
Dubbo,765,85,53,32,6,674,0.8983,0.6235,0.7361,0.7241
Gradle,2889,321,257,64,163,2405,0.6119,0.8006,0.6937,0.6572
Groovy,2241,249,184,65,39,1953,0.8251,0.739,0.7797,0.7552
Hive,9414,1046,807,239,158,8210,0.8363,0.7715,0.8026,0.7798
Maven,1219,136,92,44,34,1049,0.7302,0.6765,0.7023,0.6671
Poi,5562,618,528,90,124,4820,0.8098,0.8544,0.8315,0.8102
SpringFramework,882,98,73,25,16,768,0.8202,0.7449,0.7807,0.7559
Storm,828,92,59,33,2,734,0.9672,0.6413,0.7712,0.7682
Tomcat,2583,287,213,74,33,2263,0.8659,0.7422,0.7992,0.7792
Zookeeper,567,63,37,26,3,501,0.925,0.5873,0.7184,0.7135
