Project,Total,PositiveCount,TP,FN,FP,TN,Precision,Recall,F1,MCC
Ant,1326,102,45,57,11,1213,0.8036,0.4412,0.5696,0.5726
ArgoUML,5426,969,898,71,239,4218,0.7898,0.9267,0.8528,0.8217
Columba,1664,128,104,24,13,1523,0.8889,0.8125,0.849,0.838
EMF,962,74,31,43,0,888,1.0,0.4189,0.5905,0.6321
Hibernate,2492,377,265,112,35,2080,0.8833,0.7029,0.7829,0.7558
JEdit,2535,195,77,118,27,2313,0.7404,0.3949,0.5151,0.515
JFreeChart,1313,101,77,24,18,1194,0.8105,0.7624,0.7857,0.7689
JMeter,3666,282,207,75,38,3346,0.8449,0.734,0.7856,0.7713
JRuby,3652,383,317,66,35,3234,0.9006,0.8277,0.8626,0.8482
SQuirrel,2613,201,146,55,72,2340,0.6697,0.7264,0.6969,0.6712
Dubbo,1105,85,63,22,16,1004,0.7975,0.7412,0.7683,0.7503
Gradle,3324,321,264,57,171,2832,0.6069,0.8224,0.6984,0.6704
Groovy,3237,249,205,44,107,2881,0.6571,0.8233,0.7308,0.711
Hive,13598,1046,564,482,93,12459,0.8584,0.5392,0.6624,0.6608
Maven,1219,136,102,34,47,1036,0.6846,0.75,0.7158,0.6792
Poi,8034,618,509,109,211,7205,0.7069,0.8236,0.7608,0.7418
SpringFramework,1274,98,63,35,9,1167,0.875,0.6429,0.7412,0.733
Storm,1196,92,64,28,6,1098,0.9143,0.6957,0.7901,0.7835
Tomcat,3731,287,205,82,39,3405,0.8402,0.7143,0.7721,0.7577
Zookeeper,819,63,36,27,6,750,0.8571,0.5714,0.6857,0.6807
