Project,Total,PositiveCount,TP,FN,FP,TN,Precision,Recall,F1,MCC
Ant,1632,102,45,57,11,1519,0.8036,0.4412,0.5696,0.5771
ArgoUML,5426,969,809,160,166,4291,0.8297,0.8349,0.8323,0.7957
Columba,2048,128,98,30,5,1915,0.9515,0.7656,0.8485,0.8451
EMF,1184,74,36,38,10,1100,0.7826,0.4865,0.6,0.5981
Hibernate,2492,377,244,133,24,2091,0.9104,0.6472,0.7566,0.7355
JEdit,3120,195,62,133,23,2902,0.7294,0.3179,0.4429,0.4611
JFreeChart,1616,101,76,25,22,1493,0.7755,0.7525,0.7638,0.7484
JMeter,4148,282,210,72,34,3832,0.8607,0.7447,0.7985,0.7873
JRuby,3652,383,301,82,37,3232,0.8905,0.7859,0.835,0.8189
SQuirrel,3216,201,117,84,48,2967,0.7091,0.5821,0.6393,0.6212
Dubbo,1360,85,62,23,22,1253,0.7381,0.7294,0.7337,0.7161
Gradle,3324,321,250,71,149,2854,0.6266,0.7788,0.6944,0.6627
Groovy,3984,249,198,51,104,3631,0.6556,0.7952,0.7187,0.7018
Hive,16736,1046,715,331,185,15505,0.7944,0.6836,0.7348,0.7209
Maven,1219,136,107,29,66,1017,0.6185,0.7868,0.6926,0.6548
Poi,9888,618,396,222,93,9177,0.8098,0.6408,0.7154,0.7042
SpringFramework,1568,98,51,47,9,1461,0.85,0.5204,0.6456,0.6489
Storm,1472,92,63,29,10,1370,0.863,0.6848,0.7636,0.7554
Tomcat,4592,287,201,86,51,4254,0.7976,0.7003,0.7458,0.7318
Zookeeper,1008,63,32,31,13,932,0.7111,0.5079,0.5926,0.5792
