Project,Total,PositiveCount,TP,FN,FP,TN,Precision,Recall,F1,MCC
Ant,306,102,71,31,13,191,0.8452,0.6961,0.7634,0.668
ArgoUML,2907,969,900,69,125,1813,0.878,0.9288,0.9027,0.8528
Columba,384,128,114,14,8,248,0.9344,0.8906,0.912,0.8701
EMF,222,74,49,25,5,143,0.9074,0.6622,0.7656,0.6904
Hibernate,1131,377,313,64,64,690,0.8302,0.8302,0.8302,0.7454
JEdit,585,195,114,81,16,374,0.8769,0.5846,0.7015,0.6164
JFreeChart,303,101,84,17,8,194,0.913,0.8317,0.8705,0.812
JMeter,846,282,222,60,14,550,0.9407,0.7872,0.8571,0.8014
JRuby,1149,383,350,33,36,730,0.9067,0.9138,0.9103,0.8652
SQuirrel,603,201,152,49,35,367,0.8128,0.7562,0.7835,0.682
Dubbo,255,85,59,26,7,163,0.8939,0.6941,0.7815,0.7028
Gradle,963,321,276,45,73,569,0.7908,0.8598,0.8239,0.7317
Groovy,747,249,226,23,30,468,0.8828,0.9076,0.895,0.8417
Hive,3138,1046,825,221,76,2016,0.9156,0.7887,0.8475,0.784
Maven,408,136,111,25,16,256,0.874,0.8162,0.8441,0.7711
Poi,1854,618,543,75,45,1191,0.9235,0.8786,0.9005,0.8532
SpringFramework,294,98,83,15,11,185,0.883,0.8469,0.8646,0.7994
Storm,276,92,70,22,8,176,0.8974,0.7609,0.8235,0.7511
Tomcat,861,287,249,38,28,546,0.8989,0.8676,0.883,0.8263
Zookeeper,189,63,43,20,7,119,0.86,0.6825,0.7611,0.6701
