Project,Total,PositiveCount,TP,FN,FP,TN,Precision,Recall,F1,MCC
Ant,1734,102,56,46,32,1600,0.6364,0.549,0.5895,0.5675
ArgoUML,5426,969,862,107,175,4282,0.8312,0.8896,0.8594,0.8283
Columba,2176,128,97,31,9,2039,0.9151,0.7578,0.8291,0.8235
EMF,1258,74,31,43,7,1177,0.8158,0.4189,0.5536,0.5678
Hibernate,2492,377,240,137,21,2094,0.9195,0.6366,0.7524,0.7333
JEdit,3315,195,48,147,12,3108,0.8,0.2462,0.3765,0.4277
JFreeChart,1717,101,75,26,23,1593,0.7653,0.7426,0.7538,0.7387
JMeter,4148,282,194,88,24,3842,0.8899,0.6879,0.776,0.769
JRuby,3652,383,335,48,50,3219,0.8701,0.8747,0.8724,0.8574
SQuirrel,3417,201,94,107,15,3201,0.8624,0.4677,0.6065,0.6199
Dubbo,1445,85,52,33,19,1341,0.7324,0.6118,0.6667,0.6507
Gradle,3324,321,182,139,87,2916,0.6766,0.567,0.6169,0.5827
Groovy,4233,249,155,94,49,3935,0.7598,0.6225,0.6843,0.6704
Hive,17782,1046,750,296,225,16511,0.7692,0.717,0.7422,0.7272
Maven,1219,136,93,43,34,1049,0.7323,0.6838,0.7072,0.6724
Poi,10506,618,415,203,83,9805,0.8333,0.6715,0.7437,0.7343
SpringFramework,1666,98,64,34,16,1552,0.8,0.6531,0.7191,0.7075
Storm,1564,92,59,33,8,1464,0.8806,0.6413,0.7421,0.7389
Tomcat,4879,287,183,104,23,4569,0.8883,0.6376,0.7424,0.7402
Zookeeper,1071,63,36,27,11,997,0.766,0.5714,0.6545,0.6439
