Project,Total,PositiveCount,TP,FN,FP,TN,Precision,Recall,F1,MCC
Ant,1530,102,53,49,25,1403,0.6795,0.5196,0.5889,0.5694
ArgoUML,5426,969,878,91,210,4247,0.807,0.9061,0.8537,0.8217
Columba,1920,128,100,28,9,1783,0.9174,0.7812,0.8439,0.8367
EMF,1110,74,41,33,19,1017,0.6833,0.5541,0.6119,0.591
Hibernate,2492,377,261,116,28,2087,0.9031,0.6923,0.7838,0.7599
JEdit,2925,195,60,135,13,2717,0.8219,0.3077,0.4478,0.4844
JFreeChart,1515,101,77,24,22,1392,0.7778,0.7624,0.77,0.7538
JMeter,4148,282,228,54,81,3785,0.7379,0.8085,0.7716,0.755
JRuby,3652,383,317,66,36,3233,0.898,0.8277,0.8614,0.8468
SQuirrel,3015,201,120,81,42,2772,0.7407,0.597,0.6612,0.6439
Dubbo,1275,85,65,20,29,1161,0.6915,0.7647,0.7263,0.7067
Gradle,3324,321,265,56,200,2803,0.5699,0.8255,0.6743,0.6463
Groovy,3735,249,199,50,74,3412,0.7289,0.7992,0.7625,0.7456
Hive,15690,1046,781,265,267,14377,0.7452,0.7467,0.7459,0.7278
Maven,1219,136,95,41,33,1050,0.7422,0.6985,0.7197,0.6861
Poi,9270,618,432,186,82,8570,0.8405,0.699,0.7633,0.7516
SpringFramework,1470,98,60,38,21,1351,0.7407,0.6122,0.6704,0.6526
Storm,1380,92,58,34,13,1275,0.8169,0.6304,0.7117,0.7005
Tomcat,4305,287,231,56,65,3953,0.7804,0.8049,0.7925,0.7775
Zookeeper,945,63,39,24,9,873,0.8125,0.619,0.7027,0.6917
