Project,Total,PositiveCount,TP,FN,FP,TN,Precision,Recall,F1,MCC
Ant,2142,102,56,46,31,2009,0.6437,0.549,0.5926,0.5759
ArgoUML,5426,969,871,98,200,4257,0.8133,0.8989,0.8539,0.8218
Columba,2688,128,98,30,12,2548,0.8909,0.7656,0.8235,0.818
EMF,1554,74,29,45,7,1473,0.8056,0.3919,0.5273,0.5481
Hibernate,2492,377,201,176,11,2104,0.9481,0.5332,0.6825,0.6781
JEdit,4095,195,30,165,16,3884,0.6522,0.1538,0.249,0.3026
JFreeChart,2121,101,69,32,24,1996,0.7419,0.6832,0.7113,0.6982
JMeter,4148,282,220,62,51,3815,0.8118,0.7801,0.7957,0.7812
JRuby,3652,383,335,48,57,3212,0.8546,0.8747,0.8645,0.8485
SQuirrel,4221,201,105,96,34,3986,0.7554,0.5224,0.6176,0.6133
Dubbo,1649,85,57,28,27,1537,0.6786,0.6706,0.6746,0.657
Gradle,3324,321,229,92,116,2887,0.6638,0.7134,0.6877,0.6535
Groovy,4435,249,198,51,113,4073,0.6367,0.7952,0.7071,0.6925
Hive,21966,1046,789,257,342,20578,0.6976,0.7543,0.7249,0.7111
Maven,1219,136,95,41,38,1045,0.7143,0.6985,0.7063,0.67
Poi,12978,618,436,182,149,12211,0.7453,0.7055,0.7249,0.7118
SpringFramework,2058,98,55,43,12,1948,0.8209,0.5612,0.6667,0.6661
Storm,1932,92,59,33,13,1827,0.8194,0.6413,0.7195,0.7131
Tomcat,6027,287,188,99,58,5682,0.7642,0.6551,0.7054,0.6941
Zookeeper,1323,63,34,29,19,1241,0.6415,0.5397,0.5862,0.5697
