Project,Total,PositiveCount,TP,FN,FP,TN,Precision,Recall,F1,MCC
Ant,1122,102,45,57,10,1010,0.8182,0.4412,0.5732,0.5744
ArgoUML,5426,969,892,77,230,4227,0.795,0.9205,0.8532,0.8217
Columba,1408,128,100,28,5,1275,0.9524,0.7812,0.8584,0.8507
EMF,814,74,37,37,8,732,0.8222,0.5,0.6218,0.6154
Hibernate,2492,377,267,110,44,2071,0.8585,0.7082,0.7762,0.7453
JEdit,2145,195,69,126,12,1938,0.8519,0.3538,0.5,0.5244
JFreeChart,1111,101,75,26,19,991,0.7979,0.7426,0.7692,0.7476
JMeter,3102,282,212,70,34,2786,0.8618,0.7518,0.803,0.787
JRuby,3652,383,335,48,55,3214,0.859,0.8747,0.8668,0.851
SQuirrel,2211,201,122,79,34,1976,0.7821,0.607,0.6835,0.6624
Dubbo,935,85,62,23,21,829,0.747,0.7294,0.7381,0.7123
Gradle,3324,321,248,73,146,2857,0.6294,0.7726,0.6937,0.6616
Groovy,2739,249,204,45,68,2422,0.75,0.8193,0.7831,0.7613
Hive,11506,1046,765,281,224,10236,0.7735,0.7314,0.7518,0.7281
Maven,1219,136,98,38,40,1043,0.7101,0.7206,0.7153,0.6793
Poi,6798,618,442,176,83,6097,0.8419,0.7152,0.7734,0.7557
SpringFramework,1078,98,65,33,24,956,0.7303,0.6633,0.6952,0.6672
Storm,1012,92,56,36,6,914,0.9032,0.6087,0.7273,0.7219
Tomcat,3157,287,199,88,28,2842,0.8767,0.6934,0.7743,0.7608
Zookeeper,693,63,33,30,7,623,0.825,0.5238,0.6408,0.632
