Project,Total,PositiveCount,TP,FN,FP,TN,Precision,Recall,F1,MCC
Ant,408,102,58,44,10,296,0.8529,0.5686,0.6824,0.6227
ArgoUML,3876,969,909,60,229,2678,0.7988,0.9381,0.8628,0.817
Columba,512,128,110,18,5,379,0.9565,0.8594,0.9053,0.8782
EMF,296,74,39,35,8,214,0.8298,0.527,0.6446,0.5817
Hibernate,1508,377,292,85,52,1079,0.8488,0.7745,0.81,0.7518
JEdit,780,195,102,93,11,574,0.9027,0.5231,0.6623,0.6204
JFreeChart,404,101,79,22,5,298,0.9405,0.7822,0.8541,0.817
JMeter,1128,282,230,52,47,799,0.8303,0.8156,0.8229,0.7646
JRuby,1532,383,352,31,49,1100,0.8778,0.9191,0.898,0.8633
SQuirrel,804,201,145,56,14,589,0.9119,0.7214,0.8056,0.759
Dubbo,340,85,59,26,4,251,0.9365,0.6941,0.7973,0.7561
Gradle,1284,321,259,62,75,888,0.7754,0.8069,0.7908,0.7195
Groovy,996,249,217,32,41,706,0.8411,0.8715,0.856,0.8071
Hive,4184,1046,843,203,121,3017,0.8745,0.8059,0.8388,0.7891
Maven,544,136,102,34,18,390,0.85,0.75,0.7969,0.7372
Poi,2472,618,523,95,50,1804,0.9127,0.8463,0.8783,0.8407
SpringFramework,392,98,78,20,8,286,0.907,0.7959,0.8478,0.8043
Storm,368,92,67,25,3,273,0.9571,0.7283,0.8272,0.7915
Tomcat,1148,287,238,49,29,832,0.8914,0.8293,0.8592,0.8154
Zookeeper,252,63,40,23,6,183,0.8696,0.6349,0.7339,0.6761
