Project,Total,PositiveCount,TP,FN,FP,TN,Precision,Recall,F1,MCC
Ant,1020,102,55,47,26,892,0.679,0.5392,0.6011,0.5669
ArgoUML,5426,969,880,89,249,4208,0.7795,0.9082,0.8389,0.8042
Columba,1280,128,106,22,11,1141,0.906,0.8281,0.8653,0.8521
EMF,740,74,38,36,7,659,0.8444,0.5135,0.6387,0.6314
Hibernate,2492,377,275,102,37,2078,0.8814,0.7294,0.7983,0.7708
JEdit,1950,195,68,127,12,1743,0.85,0.3487,0.4945,0.5171
JFreeChart,1010,101,76,25,16,893,0.8261,0.7525,0.7876,0.7662
JMeter,2820,282,209,73,34,2504,0.8601,0.7411,0.7962,0.778
JRuby,3652,383,333,50,51,3218,0.8672,0.8695,0.8683,0.8529
SQuirrel,2010,201,135,66,42,1767,0.7627,0.6716,0.7143,0.6864
Dubbo,850,85,58,27,10,755,0.8529,0.6824,0.7582,0.7401
Gradle,3210,321,241,80,139,2750,0.6342,0.7508,0.6876,0.6525
Groovy,2490,249,212,37,79,2162,0.7285,0.8514,0.7852,0.7621
Hive,10460,1046,662,384,98,9316,0.8711,0.6329,0.7331,0.7194
Maven,1219,136,100,36,42,1041,0.7042,0.7353,0.7194,0.6835
Poi,6180,618,511,107,136,5426,0.7898,0.8269,0.8079,0.7863
SpringFramework,980,98,65,33,8,874,0.8904,0.6633,0.7602,0.7475
Storm,920,92,69,23,14,814,0.8313,0.75,0.7886,0.7677
Tomcat,2870,287,225,62,63,2520,0.7812,0.784,0.7826,0.7584
Zookeeper,630,63,35,28,5,562,0.875,0.5556,0.6796,0.6726
